"","V22","V25","V26","V27","V28","V29"
"1563",-0.325,-0.255,-0.555,0.245,-0.405,0.605
"1565",-0.39,-0.17,-0.88,0.27,-0.35,0.13
"1567",0.19,-0.59,-0.72,0.11,-0.47,-0.28
"1568",-0.685,-0.865,-0.815,-0.005,-0.595,0.355
"1569",0.145,-0.015,1.145,0.735,-0.205,-0.045
"1575",0.505,-0.425,-0.565,0.075,-0.985,-0.135
"1583",0.51,-0.79,-0.61,0.14,-1.51,-0.19
"1585",0.22,0.35,-0.51,0.11,-0.84,-0.02
"1587",0.7949902,-0.1350098,-0.3650098,0.1349902,-0.4050098,-0.5650098
"1588",0.905,0.055,-0.035,0.385,-0.215,-0.475
"1589",0.9650195,-0.02498051,-0.03498051,0.1450195,-0.02498051,-0.3849805
"1594",0.545,0.005,-0.205,0.295,-0.125,-0.425
"1596",0.54,-0.06,-1.727947e-18,0.11,-0.28,-0.49
"1600",0.2199902,-0.4200098,-0.3500098,0.02999023,-0.4500098,-0.3600098
"1603",0.0625,-0.0875,0.2025,0.5725,-0.7375,-0.8275
"1605",0.315,-0.155,0.045,0.705,-0.605,-0.335
"1606",0.275,-0.105,0.085,0.365,-0.615,-0.215
"1607",0.45,-0.33,-0.59,0.76,-0.31,-0.22
"1610",0.01001949,-0.1399805,-0.009980507,0.4800195,-0.4199805,-0.3299805
"1617",0.46,-0.5,-0.45,-0.1,-0.11,-0.29
"1619",0.81,-1.1,-0.08,0.22,0.09,-0.61
"1621",-0.23,-0.29,-0.43,-0.36,-0.78,-1.27
"1622",-0.3800098,-0.3400098,-0.1400098,-0.3700098,-0.9200098,-1.02001
"1628",0.08,0.02,-0.29,-0.49,-0.64,-0.42
"1636",-0.9850098,1.42499,-0.1950098,0.3849902,-0.2650098,0.3049902
"1640",-0.2299902,0.4600098,-0.3799902,-0.1099902,-0.1899902,0.4600098
"1641",-0.245,0.495,-0.535,-0.135,-0.175,0.545
"1642",0.03,0.92,-0.95,-0.44,-0.12,0.58
"1646",-0.6099805,-0.03998051,-0.1299805,0.1900195,-0.6299805,0.08001949
"1648",-0.595,1.285,0.355,0.135,-0.275,0.475
"1649",-1.12,1.18,3.469447e-18,-0.65,-0.35,0.52
"1652",-1.41,0.37,0.09,0.18,-0.58,-0.37
"1657",0.2249902,0.1249902,-0.1250098,0.05499023,0.5549902,-0.3150098
"1658",-0.4849805,-0.2149805,-0.2649805,0.5250195,0.3650195,-0.2249805
"1660",0.7,-0.22,-0.05,0.26,0.29,-0.39
"1661",-0.1150098,0.3049902,-0.1950098,0.3749902,0.6049902,-0.3350098
"1662",-0.3699902,-0.03999023,-0.08999023,0.8900098,0.9900098,0.1900098
"1663",0.04,-0.66,-0.04,0.17,0.66,0.44
"1670",0.6749902,0.1449902,0.2649902,-0.4550098,0.1849902,-0.6750098
"1673",0.11,0.02,-0.43,-0.14,-0.54,-0.2
"1674",0.685,0.175,-0.225,-0.405,-0.255,0.005
"1677",0.665,-0.025,-0.015,0.765,0.275,1.205
"1678",-0.025,-0.225,0.595,-0.125,0.355,0.345
"1679",-0.19,-0.17,0.29,0.03,0.3,0.37
"1680",0.015,-0.385,-0.005,-0.075,-0.265,0.025
"1681",0.215,-0.195,0.395,0.015,0.135,-0.155
"1685",0.2325,-0.0375,0.1825,0.2125,-0.7775,0.0725
"1691",0.66,-0.39,-0.4,-1.734723e-18,1.734723e-18,0.09
"1693",0.115,-0.005,-0.835,0.165,0.705,0.235
"1697",0.795,-0.095,-0.205,0.345,0.205,-0.045
"1698",0.7250195,-0.8449805,0.6950195,0.3850195,0.5850195,0.6150195
"1699",0.27,-0.77,0.16,0.36,0.1,0.1
"1702",0.9800195,0.8100195,0.4900195,0.1400195,-0.2799805,0.4700195
"1703",0.51,-0.71,0.23,0.42,-1.07,0.23
"1704",-0.585,-0.045,0.865,1.125,0.865,0.135
"1710",0.04,-0.42,0.47,-0.12,0.06,-0.04
"1719",-0.02500977,-0.2150098,-0.01500977,0.3949902,-0.1150098,-0.1450098
"1723",0.52,0.25,1.65,-0.19,-0.25,0.49
"1728",0.015,-0.015,0.015,0.105,0.135,0.265
"1729",0.345,-0.135,-0.155,-0.435,0.095,0.025
"1731",0.6949902,0.04499023,-0.3650098,-0.4250098,-0.03500977,-0.1750098
"1734",-0.67,-0.6,-0.55,0.08,-0.07,-0.15
"1735",-0.01,1.734723e-18,-0.22,0.59,-0.61,-0.04
"1739",0.445,0.915,-0.265,0.605,0.635,0.275
"1741",0.085,0.625,-0.145,-0.335,1.035,0.125
"1742",0.1199902,-0.3400098,-0.1000098,-0.5100098,0.5699902,-0.2100098
"1745",0.705,0.355,-0.865,0.625,0.605,-0.055
"1747",0.44,-0.29,-0.66,0.26,-0.26,-0.35
"1748",0.58,-0.35,0.41,0.02,-0.74,0.67
"1753",0.31,-0.54,-0.02,0.61,-0.22,1.11
"1756",0.6649902,1.23499,0.5349902,0.04499023,0.2049902,1.06499
"1759",0.32,0.02,-0.11,0.27,0.05,0.07
"1760",-0.32,-0.97,-0.44,0.23,-0.59,0.13
"1765",-0.315,0.015,-0.395,0.155,0.285,-0.075
"1767",-0.2425,-0.7225,-0.0225,0.6675,-0.1725,0.0875
"1768",0.1600098,0.07000977,-0.4999902,0.7300098,-0.3999902,0.1600098
"1770",0.205,-0.215,-0.375,0.335,-0.785,0.365
"1775",-0.795,-0.005,-0.205,-0.345,0.625,0.035
"1777",-0.285,-0.295,-0.785,0.015,-0.665,-0.235
"1781",0.2,0.33,-0.08,0.42,-0.35,-0.14
"1782",0.035,-0.445,-0.185,0.555,-0.445,0.195
"1785",0.195,-0.035,-0.335,0.465,-0.175,0.155
"1786",0.49,-0.55,-0.43,0.31,-0.38,0.27
"1788",0.65,-0.07,-0.27,0.29,0.14,-0.22
"1789",0.2800195,-0.5899805,-0.3999805,0.2300195,-0.1299805,-0.1599805
"1790",0.39,-0.32,-1,0.25,0.01,0.3
"1794",0.455,-0.375,0.325,-0.195,-0.105,0.245
"1797",0.205,-0.005,-0.015,0.205,-0.545,-0.155
"1804",0.33,-0.45,-0.29,0.3,0.4,0.48
"1808",0.06500977,-0.4049902,-0.6449902,-0.08499023,0.2750098,0.2750098
"1810",-0.2825,0.8175,-0.6125,0.4075,0.1575,-0.0125
"1812",-0.47,0.24,0.07,0.44,-0.19,0.61
"1815",-0.06,0.01,0.25,0.16,-0.18,0.7
"1820",0.55,-0.09,0.01,-0.03,-0.38,1.11
"1824",0.3699902,-0.6700098,-0.4700098,-9.765625e-06,-0.5500098,0.3799902
"1827",0.4250195,-0.4449805,0.1950195,-0.2949805,0.7350195,0.4550195
"1829",0.265,-0.285,0.145,-0.245,0.715,0.625
"1832",0.07,0.09,0.13,-0.12,0.72,0.2
"1837",0.925,1.265,0.725,1.005,0.965,-0.185
"1838",-0.63,-0.59,-0.38,0.36,0.16,-1.04
"1842",-1.24,0.17,0.39,0.3,-0.12,0.21
"1845",0.4599902,-0.6900098,-0.2800098,0.2099902,-0.6000098,-0.2500098
"1847",0.31,-0.48,-0.2,0.44,-0.57,0.18
"1848",-0.29,0.02,-0.21,0.69,-0.83,-0.83
"1850",-0.06500977,-0.1850098,-0.6650098,0.6849902,-0.3150098,-1.03501
"1852",0.27,0.18,-0.15,0.44,-0.66,-0.54
"1855",0.745,0.215,-0.675,-0.175,0.175,-0.645
"1856",0.465,-0.155,-0.115,-0.135,-0.045,0.135
"1863",-0.02498051,2.625019,-0.2149805,0.1550195,-0.05498051,-0.07498051
"1869",-0.33,-0.02,-0.22,0.12,-0.24,0.23
"1874",0.635,0.145,-0.125,0.215,0.235,-0.315
"1875",0.155,-0.045,-0.205,0.065,0.615,0.155
"1876",0.6550098,-0.06499023,-0.6249902,0.03500977,0.6750098,0.01500977
"1878",-0.1149805,0.07501949,-0.2449805,0.3250195,0.2850195,0.08501949
"1881",0.1,0.1,0.55,0.4,0.11,1.43
"1884",0.18,-0.4,-0.18,0.22,0.05,-0.58
"1885",0.15,0.01,-0.02,-0.01,0.22,-0.2
"1890",-0.305,-1.195,-0.235,0.025,0.015,-0.215
"1893",0.22,0.23,-0.74,-0.04,0.26,-0.18
"1894",0.39,0.05,-0.04,-0.51,-0.2,-0.07
"1895",-0.1825,-0.5025,-0.4425,0.2275,-0.0625,-0.1825
"1896",-0.17,0.06,-0.19,0.22,-0.13,-0.35
"1899",0.0775,0.0775,-0.3325,0.1175,-0.3725,-0.3025
"1903",0.225,0.015,-0.845,0.455,-0.625,-0.215
"1904",0.47,0.46,-0.07,0.52,-0.2,-0.6
"1905",-0.11,1.355253e-20,-0.32,0.59,0.2,0.03
"1912",1.00001,0.4200098,-0.3099902,0.4100098,0.2300098,-0.06999023
"1913",0.615,-0.015,-0.885,0.295,0.275,-0.135
"1916",-0.225,0.285,-0.985,0.325,-0.445,-0.245
"1918",-0.19,0.68,-0.54,0.52,-0.5,-0.19
"1920",-0.2450098,-0.02500977,-0.5150098,0.5449902,0.3349902,-0.2450098
"1922",-0.54,0.16,-0.31,0.72,0.21,-0.41
"1923",0.455,-0.105,0.055,-0.085,0.065,-0.475
"1926",-0.265,-0.345,-0.505,0.075,-1.775,-1.005
"1928",0.115,0.585,-0.805,0.135,-1.635,-0.345
"1934",-0.1199902,9.765625e-06,-0.8999902,0.1500098,-0.2299902,0.1900098
"1935",0.01501949,-0.2349805,-0.5449805,-0.3549805,-0.6149805,-0.7349805
"1939",0.225,-0.245,-0.645,0.665,0.115,0.145
"1941",-0.085,0.945,-0.465,-0.095,-0.065,-0.415
"1943",0.4899902,-0.06000977,-0.1100098,-0.04000977,-0.09000977,-0.05000977
"1944",0.9149902,-0.2450098,-0.5650098,0.2649902,-0.02500977,-0.005009766
"1949",0.6775,-0.3525,-0.0525,-0.2225,0.5575,0.6175
"1950",0.815,-0.135,-0.095,-0.265,0.385,0.465
"1951",0.2250195,0.2150195,-0.1449805,-0.1749805,0.3150195,0.4050195
"1956",0.645,-0.135,-0.205,-0.125,0.065,-0.015
"1957",0.4449902,-0.1850098,-0.2550098,-0.04500977,-0.08500977,0.06499023
"1963",0.8850098,-0.3449902,-0.1649902,-0.04499023,0.2550098,0.1850098
"1964",0.67,-0.24,0.31,0.1,0.59,0.08
"1966",0.5,-0.69,-0.31,0.58,0.88,-0.05
"1967",0.01,-1.04,-0.79,0.04,0.21,-0.67
"1970",0.005,0.435,-0.595,-0.065,0.055,-0.235
"1971",0.01,-0.26,-0.81,-0.13,-0.51,0.37
"1972",-0.18,-0.03,-0.26,0.44,-0.3,0.12
"1978",-0.675,-0.805,0.185,-0.295,0.085,0.115
"1983",-0.03500977,0.1349902,0.07499023,0.3049902,0.08499023,1.09499
"1987",-0.48,0.65,0.1,0.69,0.15,0.81
"1988",0.44,0.94,0.15,0.08,0.8,0.32
"1989",0.7000195,0.2900195,0.1500195,-0.2099805,0.4500195,0.3400195
"1990",0.225,0.325,0.325,-0.705,-0.145,0.445
"1992",-0.115,0.695,0.885,-0.345,0.465,0.265
"1993",-0.2149902,0.1250098,0.6550098,-0.3249902,0.5150098,1.06501
"1994",-0.4,-0.14,0.77,-0.54,0.47,0.91
"1995",0.4325,-0.3275,0.1525,-0.2175,0.0725,0.1825
"1998",-0.39,0.32,0.59,0.09,4.336809e-18,0.11
"2007",-0.01,0.04,-1.34,0.27,0.14,0.21
"2010",0.16,-0.53,-0.28,-0.43,0.22,-0.47
"2012",0.195,-0.625,-0.955,-0.115,0.005,-0.445
"2015",0.325,-2.305,-1.025,-0.045,0.485,0.605
"2017",0.2,-2.13,-0.41,0.24,0.15,-0.33
"2020",-0.2050098,0.02499023,-0.3550098,-0.1950098,0.3049902,0.1149902
"2023",-0.455,0.065,-0.035,0.375,-0.975,-0.545
"2026",0.2350195,-0.7949805,0.9950195,0.5150195,0.5050195,0.06501949
"2033",0.08,-0.35,-0.13,-0.05,-0.12,-0.1
"2034",-0.4049805,-0.04498051,0.5550195,0.1850195,-0.3649805,-0.1049805
"2044",0.515,1.155,-0.475,0.225,0.415,-0.035
"2046",0.9050098,2.00501,-0.2449902,0.1450098,0.08500977,-0.09499023
"2047",0.945,0.165,-1.525,0.045,0.095,0.095
"2051",-0.355,0.105,-1.085,0.085,-0.075,0.245
"2052",0.47,0.18,-1.55,-0.45,0.04,0.67
"2054",0.16,0.08,-0.38,-0.6,-0.13,0.31
"2058",0.1849805,-0.3750195,-0.1550195,0.1649805,-0.1150195,-0.3650195
"2061",0.115,-0.685,-1.345,-0.165,-0.495,-0.615
"2062",0.05,-1.38,-0.93,-0.21,-0.48,-1.01
"2063",-0.6475,-0.9175,-0.5075,-0.5775,0.3825,-0.2175
"2067",-1.695,0.455,1.315,0.395,-0.315,-0.605
"2069",-0.94,0.61,1.19,-0.68,-0.76,-0.74
"2088",0.12,-1.26,-0.98,-0.38,-0.59,-0.01
"2089",-0.12,-0.3,-0.63,-0.27,-0.21,0.05
"2093",0.4450098,0.1350098,0.2850098,0.2950098,-0.04499023,-0.1749902
"2094",0.2849902,0.04499023,-0.4250098,0.2449902,0.4849902,-0.04500977
"2096",0.405,0.315,-0.325,-0.005,0.925,-0.005
"2099",-0.31,-0.07,-0.33,0.2,0.04,-0.2
"2101",0.3849902,0.1249902,0.3849902,0.4349902,0.004990234,-0.3650098
"2107",-0.26,0.45,1.24,2.09,-0.39,1.51
"2109",-0.49,-0.71,0.27,-0.12,0.41,-0.36
"2122",0.515,0.435,-0.345,-0.225,0.345,-0.425
"2123",0.5649902,0.3849902,-0.09500977,-0.2050098,0.1549902,-0.2250098
"2124",0.035,0.715,-0.185,0.005,-0.015,-0.445
"2127",0.735,-0.325,0.045,0.215,0.265,-0.455
"2128",-0.2899805,0.1000195,0.06001949,0.4900195,0.1000195,-0.4299805
"2131",-0.39,-0.08,0.22,0.43,-0.02,0.03
"2134",0.3050098,0.2250098,-0.4549902,0.1950098,1.05501,-0.4249902
"2138",0.06,-0.4,-0.27,0.01,-0.29,-0.25
"2143",-0.07500977,0.6349902,-0.04500977,-0.1150098,0.09499023,-0.2350098
"2145",-0.1750098,-0.3150098,-0.3850098,-0.05500977,-0.3950098,-0.6450098
"2157",-0.66,0.12,0.34,-8.673617e-19,0.52,-0.21
"2162",0.6500098,0.3400098,-0.3699902,0.2800098,0.1600098,0.1800098
"2163",0.57,0.43,-0.63,0.33,-0.72,-0.13
"2164",0.2199902,-0.1200098,-0.2100098,-0.3000098,-0.4500098,-0.4300098
"2170",0.5700098,1.04001,0.3400098,0.3300098,-2.46999,-0.3899902
"2171",0.3350098,0.6150098,-0.03499023,0.03500977,-1.11499,-0.03499023
"2178",-1.195,-0.595,-0.645,-0.455,-0.265,-0.635
"2180",-1.45,-0.75,-0.13,-0.4,-0.6,-0.79
"2184",-0.36,1.45,-0.77,0.25,-0.25,-0.54
"2186",-0.335,-0.035,-0.445,0.305,-0.365,0.705
"2187",-0.2925,-0.0025,-1.1525,0.2175,-0.9625,-0.7825
"2188",-0.1325,-0.4725,-0.6825,-0.1825,0.0375,-0.0225
"2190",-0.09500977,0.2749902,-1.02501,-0.2150098,-0.4450098,0.2849902
"2195",-1.67999,-0.7799902,-0.07999023,0.04000977,-1.00999,0.3800098
"2200",-0.435,0.845,-0.425,-0.025,-0.265,0.125
"2201",-0.51,0.59,-0.26,-0.01,-0.56,0.02
"2203",-0.92,0.77,-0.15,-0.24,-0.52,0.21
"2208",-0.7400098,0.1299902,-0.2100098,-0.1000098,-0.09000977,-0.3300098
"2210",-0.69,0.5,0.01,-0.46,-0.12,0.13
"2211",-0.3600098,-0.8200098,-0.3000098,0.2599902,-0.1000098,-9.765625e-06
"2217",-0.2300098,0.2299902,-0.4800098,-0.3900098,-0.1300098,-0.1400098
"2219",-0.49,-0.3,-0.93,-0.29,0.27,-0.24
"2221",-0.045,-0.435,-0.495,-0.235,-0.665,0.015
"2222",-0.195,-0.355,-0.395,-0.355,-1.145,0.105
"2225",0.005,-0.085,0.205,0.055,-0.075,0.375
"2228",-1.07,-0.39,-0.36,0.52,-0.71,-0.9
"2229",-0.245,-0.145,0.035,-0.205,-0.455,-0.785
"2237",-0.4299805,0.2300195,-0.7199805,0.06001949,0.01001949,-0.2699805
"2241",-0.1600098,0.07999023,0.7599902,0.1199902,-0.5100098,-0.2000098
"2242",-0.195,1.175,0.325,0.035,-0.585,0.355
"2243",-1.085,0.195,-0.275,0.315,-0.145,0.205
"2247",-0.1099805,-0.9699805,-0.6399805,0.1300195,-0.5599805,-0.3499805
"2249",-0.3600098,-0.01000977,-0.7100098,-0.01000977,-0.2500098,-0.3700098
"2250",-0.6,-0.35,-0.47,-0.49,-0.49,3.469447e-18
"2252",-1.135,0.115,-0.285,0.265,-0.505,-0.415
"2254",-0.385,0.035,-0.165,0.085,-0.005,-0.085
"2259",0.07,0.1,0.06,-0.02,0.81,-0.09
"2260",-0.6349805,0.03501949,-0.6149805,-0.04498051,-0.6749805,-0.1349805
"2263",-0.8,-0.17,-0.18,-0.24,-1.29,-0.21
"2265",-0.525,0.965,0.065,0.115,0.145,-0.055
"2267",-0.06500977,0.004990234,0.3549902,-0.3150098,-0.2450098,0.1449902
"2272",-0.1025,-1.1425,-0.4125,0.3375,-0.5125,0.0975
"2276",0.075,-0.445,-0.145,-0.055,-0.545,-0.345
"2277",0.1650195,-0.7249805,-0.4449805,0.3250195,-0.1249805,0.2550195
"2278",0.2600195,-0.5099805,-0.1199805,-0.4699805,-0.2999805,0.1200195
"2282",-0.595,-0.135,-0.135,0.125,-0.615,-0.105
"2283",-0.55,0.37,-0.22,0.26,-0.54,-0.03
"2287",0.265,1.275,0.625,-0.535,0.415,-1.015
"2290",-0.675,0.085,0.005,0.075,-0.235,0.315
"2294",-0.01,0.04,-0.04,0.18,-0.2,-0.19
"2295",-0.4525,0.8975,1.1575,-1.1425,-0.7125,-0.5425
"2298",-0.3,-0.28,-0.17,0.03,0.9,-0.72
"2300",1.734723e-18,0.58,0.24,-0.26,0.17,-0.23
"2302",-0.3700098,0.3099902,-0.1700098,0.05999023,0.2299902,-0.1900098
"2303",-0.325,0.495,0.465,0.505,-0.165,0.015
"2323",-0.3899902,0.3000098,0.5400098,-0.009990234,-0.1399902,0.6300098
"2324",-0.075,0.445,0.015,0.035,0.175,-0.125
"2326",-0.02500977,0.8749902,0.4249902,0.1649902,-0.1150098,0.2749902
"2327",-0.465,-0.105,0.065,0.145,-0.175,0.465
"2328",-0.385,-0.075,-0.715,-0.165,-0.025,0.275
"2330",-0.445,-1.035,-0.445,0.205,-0.155,0.095
"2332",-0.88,0.65,0.26,0.69,-0.02,0.58
"2336",0.185,0.175,0.015,-0.015,-0.335,0.095
"2339",-0.095,0.005,0.695,0.025,-0.125,0.005
"2347",-0.4499902,-0.3899902,-0.3699902,-0.06999023,-0.2999902,-0.7399902
"2356",-0.44,1.05,0.07,1.12,0.02,-0.32
"2357",-0.45,1.06,0.32,1.21,-0.24,-0.27
"2360",-0.785,-0.895,-0.285,-0.335,0.325,0.265
"2364",-1.035,-0.085,-0.185,-0.365,0.185,-0.295
"2365",-0.945,0.085,-0.065,-0.545,0.015,-0.075
"2369",-1.305,0.625,0.465,0.335,-0.035,-0.675
"2370",-0.77,0.09,0.53,0.23,0.91,3.469447e-18
"2371",-0.24,0.03,0.48,-0.32,-0.25,0.09
"2380",-0.9950098,-0.01500977,-1.04501,-1.48501,-0.4050098,-0.6850098
"2381",-0.6649902,0.6550098,-0.9749902,-1.78499,-0.4049902,-0.9149902
"2385",-0.1850098,-1.76501,-0.3850098,0.1949902,0.1749902,-0.3550098
"2393",0.2050195,-0.2349805,-0.2249805,0.06501949,-0.1649805,-1.054981
"2394",1.08501,-0.6349902,-0.4149902,-0.1449902,0.4350098,-0.6349902
"2395",-0.1575,-0.1175,0.1325,0.2425,-0.2475,-0.0475
"2404",0.47,-0.37,-1.18,-0.39,-0.43,-0.12
"2405",0.44,0.25,-0.17,0.03,-0.63,-0.72
"2406",0.795,-0.385,-0.295,0.095,-1.085,-0.655
"2407",0.7900098,-1.21999,0.3800098,-0.06999023,-0.4199902,-0.3599902
"2408",-0.18,-0.2,1,0.18,0.38,0.88
"2410",-0.51,-0.18,0.1,0.06,-0.46,0.6
"2413",0.165,-0.435,-0.405,0.285,0.745,0.285
"2416",0.31,-0.43,-0.42,-0.09,0.86,0.47
"2417",0.115,-0.495,-0.205,-0.195,0.345,0.225
"2418",-0.145,0.215,0.045,-0.175,0.285,0.645
"2420",-0.36,-0.44,-0.06,0.32,0.66,0.19
"2421",0.03499023,-0.7550098,-0.4850098,0.4949902,0.4149902,0.9649902
"2424",-0.48,-0.45,0.01,-0.39,0.57,0.58
"2432",-0.075,0.055,-0.565,-0.825,0.215,0.965
"2433",0.24,1.63,-0.86,-0.3,0.16,0.9
"2443",-0.3,0.2,-0.26,-0.14,0.12,0.03
"2448",0.82,-0.3,-0.84,-0.7,-0.31,-0.65
"2451",0.255,-0.075,-0.515,-0.335,0.325,0.295
"2453",0.225,0.005,-0.595,-0.195,0.175,0.375
"2459",0.09,-0.21,-0.89,0.08,-0.13,0.01
"2462",0.265,0.195,-0.275,0.275,0.195,-0.615
"2463",0.68,0.39,-0.84,-0.33,0.18,-0.87
"2464",0.755,0.235,-1.005,-0.565,-0.015,-0.835
"2467",0.7249902,-0.01500977,-0.3250098,0.04499023,-0.5150098,-0.4550098
"2469",-0.12,-0.4,0.11,0.07,0.18,-0.03
"2476",-0.2599805,-0.6499805,0.2900195,0.3000195,0.1000195,-0.3999805
"2485",0.4600098,0.1400098,-0.4999902,0.3300098,0.04000977,-0.3699902
"2490",0.4099902,0.3699902,-0.3800098,0.03999023,-0.1200098,-0.2000098
"2492",-0.615,-0.215,-0.475,-0.325,0.465,0.005
"2496",-0.015,-0.235,-0.585,0.245,0.725,-0.075
"2503",0.005,0.075,-0.515,0.065,0.615,-0.225
"2505",0.145,0.005,-0.305,-0.205,0.225,0.055
"2519",0.53,0.44,-0.11,-0.32,0.21,0.36
"2521",0.485,-0.045,0.175,-0.355,0.085,0.215
"2525",0.1475,0.0975,-0.1925,0.0275,0.4475,-0.2325
"2528",-0.2099902,-0.3499902,-0.8699902,0.3100098,0.7400098,-0.2299902
"2529",0.215,-0.365,-0.275,0.505,-0.405,0.475
"2530",0.205,0.285,-0.405,1.005,-0.535,0.685
"2531",0.66,0.1,0.09,0.69,-0.93,0.26
"2532",0.02,0.4,-1.46,-0.07,0.71,0.47
"2533",0.5074902,0.6774902,-0.1025098,0.7874902,0.09749023,-0.2525098
"2534",0.2949902,0.4149902,-0.1150098,0.1249902,0.1049902,-0.5050098
"2535",0.4949902,0.1049902,-0.7050098,0.3149902,0.2449902,-0.5050098
"2539",0.9599902,0.5499902,0.009990234,-0.2700098,0.7599902,0.02999023
"2540",-0.29,0.14,-0.09,-0.19,0.37,-0.04
"2546",0.145,0.005,-0.215,-0.035,0.865,-0.325
"2547",0.3049902,0.3849902,-0.1850098,0.3649902,0.4649902,-0.3650098
"2554",-0.1850098,0.4349902,-0.8550098,-0.1950098,0.4449902,-0.6450098
"2558",0.265,0.105,-0.375,0.365,-0.405,0.565
"2564",-0.565,0.215,-0.535,0.215,-1.635,0.265
"2569",-0.985,-0.305,-0.115,0.365,-0.335,0.385
"2570",-0.4175,0.4125,0.9625,0.1825,0.0925,-0.6075
"2572",0.7,0.41,-0.6,-0.54,-0.43,-0.19
"2586",0.08501949,0.05501949,0.4350195,0.005019493,-0.5249805,-0.6949805
"2588",0.555,1.055,0.615,-0.035,-0.075,0.535
"2590",0.34,0.69,0.04,-0.11,0.15,0.47
"2591",0.2999902,0.4899902,-0.7000098,-0.3700098,0.2199902,0.2799902
"2592",1.025,1.005,-0.185,-0.855,0.595,0.605
"2594",-0.23,1.27,-0.66,-0.05,0.8,-0.87
"2596",-0.285,-0.385,-0.025,-0.195,-0.005,-0.085
"2597",-0.095,0.105,-0.495,-0.495,0.255,-0.145
"2598",-0.395,-0.275,-0.465,-0.695,0.075,0.105
"2608",-0.105,0.085,0.075,-0.125,-0.215,-0.375
"2610",-1.145,0.305,-0.235,0.515,-0.505,-0.585
"2612",0.065,0.505,-0.385,-0.055,-0.605,-0.485
"2613",0.065,0.535,0.895,0.595,-0.705,0.065
"2618",0.7350098,0.6350098,0.4550098,-0.3949902,-0.6849902,0.5350098
"2619",0.6700195,0.4900195,0.8200195,-0.1899805,-0.4299805,-0.009980507
"2622",0.53,-0.57,-0.73,0.36,0.01,-0.47
"2627",0.26,-0.07,1.15,-0.26,-0.45,0.01
"2629",-0.07,-0.43,-0.01,-0.04,-0.72,-0.29
"2630",-0.3899805,-0.3899805,-0.1599805,0.1800195,-0.5299805,-0.2399805
"2633",0.1,0.45,0.67,-0.32,-0.91,-0.23
"2636",0.04001949,-0.2599805,0.4200195,-0.1299805,-0.2599805,-0.03998051
"2637",-0.2775,-0.3775,0.1225,-0.6975,-0.0875,-0.8175
"2638",-0.7275,0.1925,0.0425,-0.5775,-1.0575,-0.2275
"2640",-0.995,-0.515,-0.215,-0.845,-0.855,0.205
"2643",-0.05999023,-0.1799902,0.5800098,-0.02999023,-0.9699902,-0.3199902
"2644",-0.6499902,0.7100098,-0.3299902,-0.2799902,-0.1399902,-0.2799902
"2645",-0.355,0.315,-0.195,-0.375,-0.485,0.205
"2648",0.2149902,0.6949902,-0.1750098,0.5549902,-0.9050098,-0.7550098
"2649",-0.05,0.6,-0.47,0.29,-0.33,-0.08
"2650",-0.28,0.06,-0.33,0.36,0.22,-0.22
"2651",-0.05,0.45,0.38,-0.13,0.29,-0.35
"2653",-0.7,0.3,0.48,-0.33,-0.63,-0.76
"2657",-0.395,-0.485,0.135,-0.155,-0.315,-1.035
"2659",-0.52,0.08,-0.05,0.01,-0.39,-0.72
"2664",-1.52001,-0.4300098,0.6099902,0.6999902,-0.2000098,0.4699902
"2666",-0.7049707,-0.2549707,0.6850293,-0.07497074,0.6950293,-0.06497074
"2669",-0.2249902,-0.01499023,0.9850098,-0.1149902,-0.004990234,-0.2049902
"2670",-0.54,-0.1,0.94,-0.38,-0.31,0.29
"2673",0.385,-0.305,0.345,-0.235,-0.245,-0.285
"2674",0.305,-0.495,0.155,0.155,-0.495,-0.275
"2675",-0.3049805,0.1950195,1.025019,0.2950195,-0.2549805,-0.02498051
"2678",-0.29,-0.12,0.14,-0.07,-0.04,0.25
"2680",-0.2,0.05,0.11,-0.16,-0.01,-0.1
"2683",-0.2850098,0.2749902,0.4949902,-0.03500977,-0.01500977,0.2449902
"2684",-0.395,0.325,-0.015,0.145,-0.055,0.285
"2688",-0.165,0.445,0.455,-0.335,0.005,-0.595
"2689",-0.2999805,0.3500195,0.5300195,-0.3099805,0.09001949,-0.4399805
"2690",-0.345,0.555,0.155,-0.665,0.055,-1.075
"2691",-0.3199902,0.2800098,-0.4599902,-0.08999023,0.3500098,-0.03999023
"2694",-0.5425,1.8375,0.6575,-0.9525,0.7075,0.0175
"2699",0.065,0.795,0.535,-0.285,0.475,0.075
"2702",-0.01999023,0.8400098,0.3100098,-0.3899902,0.06000977,-0.08999023
"2704",0.005009766,0.08500977,0.5250098,-0.4049902,0.4450098,0.3250098
"2707",0.02,0.98,0.52,-1.05,-0.58,-0.04
"2710",-0.3675,0.2625,0.0425,0.2025,0.1025,-0.1275
"2714",-0.09,1.15,0.85,-0.16,-0.36,-0.76
"2721",0.17,-0.24,-3.09,0.47,-4.78,-0.44
"2732",0.1500098,-0.1699902,-0.07999023,-0.2499902,-0.1699902,-0.6299902
"2733",0.04001949,-0.1199805,0.05001949,-0.4799805,-0.4499805,-0.3499805
"2734",1.19,-0.5,-0.35,-0.96,-0.17,0.18
"2736",0.21,0.51,0.32,0.46,-0.36,-0.36
"2739",-0.25,0.48,0.19,0.52,1.03,0.1
