"","V42","V43","V44","V45","V46","V47","V48"
"1325",-0.195039,0.135,0.195,0.2950195,0.245,-0.165,-0.4350195
"1328",0.184961,0.645,0.155,0.05501953,-0.045,0.005,-0.2350195
"1334",-0.07003899,0.13,-0.32,-0.09998047,-0.74,0.73,-1.06002
"1336",0.09496101,-0.055,0.125,-0.1649805,-0.285,-0.505,-0.6850195
"1338",0.2099708,0.3000098,-0.3599902,0.1600293,-0.5399902,0.2000098,-9.765625e-06
"1346",0.364961,0.715,0.395,1.45502,0.855,1.025,0.4849805
"1348",0.239961,-0.01,0.01,0.4200195,0.1,0.08,-0.4500195
"1349",0.05496101,-0.095,-0.245,0.1350195,-0.785,0.015,-0.4250195
"1350",0.559961,0.5,-0.17,-0.01998047,-1.85,0.27,0.01998047
"1353",0.419961,-0.33,0.03,0.09001953,0.28,0.12,-0.1300195
"1358",0.2449805,-0.5349805,-0.2649805,0.225039,0.08501949,-0.8749805,-0.335
"1359",0.204961,-0.105,0.005,0.05501953,-0.005,-1.075,0.4149805
"1364",0.504961,-0.595,0.395,0.3150195,0.355,-0.045,-0.5150195
"1365",0.229961,-0.29,0.09,-0.02998047,0.28,-0.06,-0.4800195
"1368",0.2899708,-0.07999023,0.2600098,0.7600293,-0.2199902,0.2700098,0.9199902
"1370",0.519961,0.05,-0.24,-0.4699805,0.15,0.24,1.08998
"1385",0.249961,-0.86,-0.49,-0.2099805,0.51,-0.27,0.3299805
"1401",0.379961,0.98,-0.82,0.07001953,0.84,1.387779e-17,-0.05001953
"1402",-0.300039,0.9,-0.09,0.1000195,1.29,-0.01,-1.42002
"1413",0.004970741,0.4750097,0.005009727,-0.004970741,-1.12499,0.02500973,-0.5650098
"1419",0.2199708,0.3100098,0.01000977,-0.0899707,0.5900098,-0.1099902,-0.3100098
"1420",0.294961,-0.245,0.215,0.2650195,0.395,0.575,-0.8450195
"1422",-0.03003899,-0.32,0.44,-0.2699805,0.09,0.43,-0.6800195
"1424",0.154961,0.265,0.935,-0.07498047,0.645,0.205,-0.4750195
"1426",0.09495125,-0.4050098,0.7549902,-0.2049902,-0.01500977,-0.1850098,0.2149707
"1427",-0.132539,0.0075,0.2875,-0.1824805,-0.0925,-0.1125,0.2074805
"1428",-0.175039,0.285,-0.135,0.1650195,0.655,0.345,-0.4950195
"1429",-0.605039,-0.045,0.175,0.7250195,0.245,-0.155,-0.4150195
"1436",0.05998051,-0.1499805,0.2700195,0.690039,0.5000195,-0.009980507,0.16
"1439",-0.130039,-0.81,0.29,0.4800195,0.15,0.26,-0.7900195
"1441",0.06496101,-0.045,-0.285,0.3850195,0.535,0.115,-0.1050195
"1444",-0.212539,0.0275,-0.4325,0.2675195,0.2075,-0.5925,-0.1525195
"1445",0.912461,-0.4175,-0.3575,-0.6774805,-0.0475,-0.5575,-0.1275195
"1446",0.9549708,-0.3349902,-0.4049902,-0.6849707,-0.02499023,-0.4949902,0.01499023
"1449",0.579961,1.07,-0.25,0.1500195,-0.22,0.29,0.3499805
"1452",0.809961,1.28,0.05,1.05002,-0.01,0.2,0.7499805
"1454",0.154961,0.135,0.305,-0.1249805,-0.135,-0.165,0.05498047
"1455",0.4899805,-0.04998051,-0.05998051,0.100039,0.3100195,0.5400195,0.06999996
"1456",0.06496101,0.025,0.375,0.1550195,0.185,-0.995,-0.01501953
"1460",0.1699708,0.08000977,-0.02999023,0.2400293,-0.09999023,-0.9699902,0.2999902
"1461",0.319961,-0.01,-0.25,-0.02998047,0.07,-0.71,0.2499805
"1462",-0.255039,0.295,-0.095,-0.5149805,-0.635,0.005,0.1449805
"1473",0.102461,-0.0175,0.6425,0.2725195,0.3425,0.5225,0.4424805
"1479",0.344961,0.515,1.015,0.8350195,0.835,0.225,0.5149805
"1483",0.1099512,0.1499902,-0.3600098,9.765625e-06,-0.4400098,0.3399902,-0.1900293
"1484",0.2949512,0.5549902,-0.08500977,-0.5249902,0.1649902,-0.09500977,-0.0950293
"1492",0.249961,-0.08,0.12,0.3600195,0.5,0.18,0.8199805
"1497",0.02496101,0.075,-0.055,0.1350195,-0.225,0.215,0.3349805
"1501",0.149961,0.17,-0.09,-0.1599805,0.36,0.18,-0.4000195
"1503",-1.94931e-05,-0.3399805,-0.3699805,-0.909961,-0.1199805,-0.4499805,-0.44
"1506",0.249961,-0.17,-0.05,0.02001953,0.03,-1.08,0.04998047
"1509",0.07496101,-0.185,-0.065,-0.3649805,-0.315,-0.395,-0.4350195
"1510",-0.09003899,-0.33,-0.33,-0.1799805,-0.72,-0.57,-0.3600195
"1511",0.219961,-0.27,-0.2,0.2000195,-0.08,-0.42,-0.6200195
"1512",0.254961,0.005,-0.335,0.2650195,-0.255,0.005,-0.5650195
"1513",0.284961,0.005,-0.195,0.4050195,0.165,0.095,-0.5850195
"1514",0.2149708,0.2050098,-0.004990234,0.4150293,-0.01499023,0.03500977,0.1649902
"1519",0.1699708,0.3300098,0.3700098,0.1800293,0.1200098,-0.08999023,0.2899902
"1521",-0.370039,-0.1,-0.36,0.2500195,0.22,0.34,0.3199805
"1522",-0.2650195,-0.3049805,0.1350195,-0.154961,-0.07498051,0.5550195,-0.145
"1524",-0.05503899,-0.075,0.025,0.3150195,0.015,-0.085,-0.03501953
"1528",-0.2750292,-0.1449902,-0.1049902,0.2150293,0.1350098,-0.2949902,0.02499023
"1532",0.559961,0.93,-0.3,0.4800195,0.02,0.11,0.4999805
"1535",0.274961,0.635,-0.075,0.8050195,0.025,-0.385,-0.4250195
"1536",0.292461,0.5625,0.2025,0.5025195,-0.2575,-0.0075,-0.2975195
"1542",0.289961,0.48,0.02,0.8500195,-0.03,0.11,0.1099805
"1547",0.224961,-0.005,0.075,0.2150195,0.065,0.265,-0.2450195
"1548",0.4949805,0.4350195,0.4750195,0.745039,0.2150195,0.3350195,-0.05500004
"1550",-1.94931e-05,-0.07998051,0.1800195,0.440039,-0.8599805,0.1900195,-0.31
"1551",0.539961,0.24,-0.16,0.1600195,0.04,-0.41,-0.6600195
"1555",0.9449805,0.4850195,-0.1549805,0.785039,-0.1149805,-0.1149805,-0.115
"1556",0.729961,0.36,-0.08,0.7800195,0.02,0.08,-0.1800195
"1557",0.964961,0.325,-0.145,1.25502,0.425,0.705,-0.1250195
"1563",0.284961,0.515,0.275,0.7950195,-0.055,0.065,0.4949805
"1565",0.269961,0.41,0.16,0.7800195,0.49,0.69,0.3999805
"1567",0.03996101,-0.14,0.16,0.6700195,0.05,-0.3,-0.01001953
"1568",0.234961,-0.165,-0.155,0.3550195,0.555,0.155,0.4749805
"1569",0.314961,0.355,0.845,0.7750195,0.435,0.025,0.8649805
"1575",0.164961,0.455,-0.035,0.3550195,0.095,-0.145,0.2649805
"1583",0.659961,-0.33,-0.1,0.5300195,0.8,-0.81,-0.6100195
"1585",0.529961,0.35,-0.06,0.3500195,0.37,-0.75,-0.3000195
"1587",0.4449512,0.9349902,0.2549902,1.02501,0.3649902,-0.3750098,0.1749707
"1588",0.514961,0.545,0.135,1.00502,0.025,-0.515,0.1949805
"1589",0.6749805,0.5750195,0.01501949,0.875039,0.2050195,-0.3849805,0.145
"1594",0.614961,0.935,0.195,1.10502,0.055,-0.465,0.6949805
"1596",0.329961,0.42,0.03,0.6400195,0.19,-0.45,0.03998047
"1600",0.2299512,0.1899902,0.2299902,0.5900098,0.3499902,0.3699902,-0.2700293
"1603",0.882461,0.8825,-0.2075,0.4825195,-0.3275,0.1625,-0.06751953
"1605",0.384961,0.245,0.265,0.7250195,0.245,-0.485,0.02498047
"1606",0.424961,0.415,0.025,0.3550195,-0.185,-0.325,0.03498047
"1607",0.499961,-0.01,-0.17,0.9000195,0.16,0.01,0.4699805
"1610",0.3299805,0.6900195,0.5600195,0.970039,0.3600195,-0.06998051,0.19
"1617",0.139961,-0.1,0.33,0.3400195,-8.605855e-19,0.51,-0.06001953
"1619",0.369961,-0.37,0.02,0.8000195,0.06,0.33,-0.6200195
"1621",0.659961,-0.33,0.15,0.1800195,-0.08,-1.33,-0.2300195
"1622",0.3799512,-0.3800098,0.2699902,0.3200098,0.04999023,-1.60001,-0.0700293
"1628",-0.460039,0.83,0.21,0.4000195,0.78,0.34,0.009980469
"1636",0.3749512,1.23499,0.04499023,0.1150098,0.06499023,0.1049902,0.6149707
"1640",-2.922058e-05,0.2300098,0.5800098,0.4500293,-0.6999902,9.765625e-06,-9.765625e-06
"1641",0.104961,0.205,0.515,0.5450195,-1.025,0.095,-0.02501953
"1642",-0.300039,0.76,0.61,-0.5799805,-0.83,0.26,0.3299805
"1646",0.4899805,0.5000195,0.02001949,0.860039,0.1300195,0.01001949,0.41
"1648",-0.155039,0.225,0.005,0.3650195,-0.175,0.135,1.00498
"1649",-0.590039,0.45,0.68,0.4100195,1.24,0.35,1.65998
"1652",-0.140039,0.77,0.15,0.1300195,0.56,0.41,0.1199805
"1657",-0.05504875,0.5149902,0.1749902,-0.5049902,0.01499023,-0.3150098,0.1649707
"1658",0.03498051,0.05501949,0.05501949,-0.524961,0.4950195,0.1950195,0.155
"1660",0.119961,0.41,0.39,-0.009980469,-0.05,0.16,0.08998047
"1661",-0.3650488,0.7549902,0.3649902,0.005009766,-0.4050098,0.2249902,0.4949707
"1662",0.1399708,0.6200098,0.6200098,0.5300293,0.01000977,-0.1199902,0.1599902
"1663",-0.170039,0.26,-0.01,0.8100195,-0.38,0.7,0.5799805
"1670",-0.1950488,1.13499,0.9049902,0.005009766,0.04499023,0.2349902,-0.3950293
"1673",-0.02003899,0.88,-0.89,-0.2399805,-0.67,0.28,0.4099805
"1674",-0.415039,1.085,0.115,-0.7249805,-0.435,0.245,0.2349805
"1677",0.504961,0.345,0.615,0.1850195,0.305,1.085,0.8949805
"1678",-0.04503899,0.535,0.165,0.07501953,-0.495,0.205,-0.8050195
"1679",0.259961,0.71,0.33,-0.4599805,-0.2,0.67,0.3299805
"1680",0.274961,0.625,0.085,-0.6549805,-0.445,1.125,0.2849805
"1681",0.184961,0.185,-0.225,-0.6849805,-0.735,0.235,0.07498047
"1685",0.472461,0.2525,0.2425,0.6725195,0.2525,0.0725,0.4624805
"1691",0.219961,0.45,0.54,0.2400195,0.16,-0.1,0.3899805
"1693",0.754961,0.925,0.445,-0.06498047,-0.365,-0.615,0.1649805
"1697",0.394961,0.975,0.585,0.6650195,0.395,0.235,0.7449805
"1698",-0.3850195,1.075019,0.5950195,0.955039,0.3350195,-0.1249805,0.595
"1699",-0.03003899,0.65,0.09,0.1600195,0.04,0.3,0.1199805
"1702",0.02998051,0.3300195,0.3100195,0.04003902,-0.06998051,-0.5499805,0.33
"1703",0.549961,0.95,-0.58,0.1500195,-0.02,-0.36,0.8899805
"1704",0.09496101,0.475,0.295,1.11502,0.065,0.155,0.6449805
"1710",0.219961,0.73,0.05,0.05001953,-0.55,-0.1,0.1899805
"1719",0.3849512,-0.1650098,0.1949902,-0.1149902,0.1349902,-0.1750098,0.0949707
"1723",0.189961,-0.48,0.31,0.4400195,0.1,0.46,0.5799805
"1728",0.384961,0.625,0.165,0.3550195,0.605,0.875,0.9449805
"1729",-0.995039,0.255,0.375,0.09501953,0.085,0.075,0.9249805
"1731",-0.2550488,0.2049902,0.3249902,-0.004990234,-0.03500977,0.4149902,0.6049707
"1734",0.149961,0.08,0.72,0.1500195,0.39,1.21,0.07998047
"1735",0.299961,0.34,0.2,0.02001953,-0.44,0.39,0.2099805
"1739",0.564961,-0.005,1.075,-0.2149805,0.455,-0.865,-0.7150195
"1741",-0.215039,0.755,0.615,0.3950195,-0.235,0.575,0.1149805
"1742",-0.3400488,0.5299902,0.2599902,0.2500098,-0.4800098,0.5199902,0.4199707
"1745",0.684961,1.225,0.845,0.8550195,-0.005,0.295,1.26498
"1747",0.08996101,0.97,-1.030331e-17,-0.3699805,0.1,0.44,0.6899805
"1748",-0.280039,0.83,0.36,0.3200195,0.49,1.38,0.7899805
"1753",0.169961,1.44,0.85,0.2800195,0.04,1.74,-0.02001953
"1756",0.3649512,2.37499,0.8549902,-0.09499023,0.2149902,2.52499,1.134971
"1759",0.219961,0.16,0.2,0.3200195,0.36,1.39,0.1699805
"1760",-0.140039,1.14,0.04,-0.08998047,0.55,1.12,0.7599805
"1765",-0.135039,0.355,0.505,0.1550195,0.415,1.335,0.07498047
"1767",0.567461,0.4475,0.9075,0.5075195,0.6275,1.3275,0.4874805
"1768",0.4799708,0.5400098,0.2600098,0.3900293,0.4300098,1.65001,0.9499902
"1770",0.614961,0.475,0.765,0.3550195,0.615,1.605,1.15498
"1775",0.354961,0.505,0.565,0.2050195,0.675,1.755,0.5749805
"1777",0.514961,0.455,0.295,0.5150195,0.785,1.985,1.03498
"1781",0.359961,0.15,0.18,0.9400195,0.31,0.99,0.1499805
"1782",0.774961,0.535,0.085,1.23502,0.795,1.265,0.5749805
"1785",0.534961,0.495,0.015,0.7950195,0.345,1.095,0.3549805
"1786",0.459961,0.29,0.08,0.8400195,0.41,0.99,0.5899805
"1788",1.319961,0.86,0.36,0.8900195,1.07,1.11,0.4199805
"1789",0.04998051,0.9700195,0.5300195,0.600039,0.9300195,0.7900195,0.54
"1790",0.129961,0.59,0.47,0.1100195,0.5,1.6,1.56998
"1794",-0.07503899,0.885,0.175,-0.05498047,0.385,-0.015,0.8649805
"1797",0.114961,0.525,-0.125,-0.2349805,-0.315,0.065,0.3849805
"1804",0.179961,0.42,0.85,0.8000195,0.46,0.24,0.07998047
"1808",-0.1450292,0.5750098,0.5250098,0.1550293,0.04500977,0.3750098,1.09499
"1810",-0.04253899,0.9475,0.2375,0.4075195,-0.0525,-0.0325,0.7074805
"1812",0.189961,0.35,0.22,-0.05998047,-0.09,0.49,-0.1900195
"1815",0.759961,0.32,0.43,0.5400195,-0.21,0.26,0.6399805
"1820",-0.170039,0.45,0.35,-0.8199805,-0.05,0.04,-0.04001953
"1824",-0.5000488,0.2199902,-0.1300098,9.765625e-06,0.6399902,-0.1000098,0.1799707
"1827",-0.01501949,0.5950195,-0.9349805,-0.634961,0.06501949,-0.02498051,0.435
"1829",-0.195039,0.555,0.145,-0.4849805,-0.035,0.475,0.1149805
"1832",0.369961,0.33,0.48,0.4900195,0.28,0.46,0.3399805
"1837",0.934961,1.655,1.595,0.4550195,1.095,1.295,1.12498
"1838",-0.330039,0.05,0.4,0.7000195,0.71,0.69,0.3099805
"1842",-0.770039,0.7,-0.17,-0.1399805,-0.47,0.02,0.3499805
"1845",0.2899512,0.5299902,0.009990234,0.4700098,-0.07000977,0.2999902,0.1799707
"1847",0.389961,0.28,0.18,0.4100195,0.5,0.14,0.3399805
"1848",0.889961,1.41,0.7,1.57002,0.74,0.38,0.1699805
"1850",0.9049512,1.80499,0.2949902,1.01501,-0.1350098,0.5149902,0.2149707
"1852",0.219961,0.22,0.48,1.00002,0.1,-0.03,-0.2600195
"1855",0.374961,0.015,0.375,0.02501953,0.355,0.845,0.6949805
"1856",0.01496101,0.365,0.695,0.7250195,0.515,1.005,0.4949805
"1863",0.004980507,1.265019,0.3350195,0.465039,0.02501949,0.2150195,0.325
"1869",0.679961,0.41,0.3,0.3400195,0.35,0.76,0.4999805
"1874",0.274961,0.235,0.355,0.1950195,-0.075,-0.265,0.1849805
"1875",0.08496101,0.255,0.445,0.5250195,0.695,0.095,0.7149805
"1876",-0.01502922,0.8150098,0.3450098,0.0650293,0.2750098,-0.03499023,-0.005009766
"1878",0.2049805,0.4150195,0.6250195,0.645039,0.6150195,-0.4249805,0.505
"1881",0.199961,-0.01,0.54,0.7200195,0.4,1.19,0.6299805
"1884",-0.280039,0.41,0.49,0.3400195,0.09,0.18,-0.01001953
"1885",-0.05003899,0.37,0.43,0.1300195,0.11,-0.47,0.03998047
"1890",-0.295039,0.915,0.235,0.2150195,0.055,-0.345,0.1649805
"1893",0.05996101,0.08,0.03,0.2000195,-0.05,0.22,0.2699805
"1894",0.139961,0.72,0.68,0.3600195,0.24,-8.605855e-19,0.4099805
"1895",0.167461,0.3975,0.6875,0.2675195,-0.2325,0.1575,0.3274805
"1896",0.02996101,0.28,0.57,0.1200195,-0.45,0.01,0.3399805
"1899",0.397461,-0.3025,0.1575,0.4175195,0.1875,-0.0725,-0.02251953
"1903",0.564961,0.715,0.905,0.9350195,0.645,-0.095,0.6449805
"1904",0.569961,0.79,0.89,1.17002,0.76,0.2,0.1099805
"1905",0.149961,0.31,0.52,0.3900195,-0.06,0.54,0.9299805
"1912",0.5399708,-0.7199902,0.7300098,0.8000293,0.1500098,-0.4999902,0.4399902
"1913",0.884961,-0.295,0.695,0.7550195,0.635,-0.055,0.4049805
"1916",0.514961,0.425,0.135,0.6750195,0.595,0.345,0.2849805
"1918",0.799961,0.96,0.29,1.16002,0.21,0.12,0.3299805
"1920",0.4149512,0.3149902,0.7349902,0.2450098,0.1849902,-0.3650098,0.0849707
"1922",0.339961,0.06,0.44,0.1900195,0.22,0.47,0.09998047
"1923",0.09496101,0.595,0.365,0.3050195,0.605,-0.505,0.2149805
"1926",0.264961,0.195,0.505,-0.09498047,0.385,-0.055,0.2449805
"1928",1.204961,-0.065,0.735,0.8250195,0.685,-0.335,0.1149805
"1934",0.4999708,-0.07999023,0.1300098,0.0100293,0.1900098,0.06000977,0.2899902
"1935",-0.2950195,-0.2249805,0.3050195,-0.344961,0.1250195,0.3450195,0.535
"1939",-0.08503899,-0.055,0.445,-0.04498047,0.405,-0.215,-0.5050195
"1941",-0.325039,-0.305,0.345,0.3450195,0.555,0.025,0.6549805
"1943",0.4699512,0.3499902,0.2999902,9.765625e-06,-0.01000977,-0.1300098,0.4199707
"1944",-0.1750488,0.5349902,0.6249902,0.005009766,-0.005009766,-0.1150098,0.0449707
"1949",0.06746101,1.1875,0.2075,1.48752,0.5975,1.4075,0.8374805
"1950",0.214961,1.205,0.395,1.86502,0.835,1.805,0.4849805
"1951",0.01498051,0.5350195,0.08501949,1.275039,0.4250195,1.045019,0.375
"1956",0.06496101,0.585,0.235,0.4650195,0.035,0.205,0.4649805
"1957",0.1149512,0.3749902,0.6449902,0.3050098,0.07499023,-0.2050098,0.3749707
"1963",0.1649708,0.2750098,0.3450098,-0.6449707,-0.01499023,-0.09499023,0.004990234
"1964",0.279961,0.07,-0.18,-0.3999805,-0.28,0.49,-0.4500195
"1966",0.629961,0.26,-0.02,-0.1499805,-0.35,0.65,0.3399805
"1967",-0.210039,-0.04,0.44,0.2100195,0.14,-0.32,0.1399805
"1970",-0.545039,0.235,0.745,-0.05498047,-0.005,0.315,1.56498
"1971",-0.350039,0.28,0.65,-0.2099805,-0.09,-0.35,2.07998
"1972",0.339961,0.52,0.85,0.5700195,-0.44,-0.42,0.3599805
"1978",-0.06503899,0.195,0.215,-0.6549805,0.115,-0.045,-0.01501953
"1983",0.2549512,1.05499,0.6749902,0.05500977,-0.1850098,0.01499023,0.7349707
"1987",0.489961,0.33,0.38,0.03001953,0.36,0.21,-0.1900195
"1988",-0.03003899,0.46,0.54,0.1600195,0.2,-0.22,-1.27002
"1989",-0.02001949,1.500019,0.9400195,-0.119961,0.1700195,0.2100195,1.03
"1990",0.254961,0.355,0.805,0.5050195,-0.125,0.655,0.9549805
"1992",-0.08503899,0.205,0.855,1.12502,1.125,1.455,0.8649805
"1993",-0.4350292,0.09500977,0.005009766,0.2850293,0.4050098,1.31501,0.3949902
"1994",-0.370039,0.26,-0.18,0.08001953,-0.01,1.15,0.2099805
"1995",-0.117539,0.5325,0.3125,0.5325195,0.1825,0.6625,0.9124805
"1998",0.129961,-0.07,0.34,-0.2299805,0.31,0.92,0.4899805
"2007",0.739961,0.71,0.52,-0.4899805,-0.62,-0.09,0.4299805
"2010",0.109961,0.41,0.12,0.04001953,0.11,0.04,-0.1500195
"2012",-0.09503899,1.405,0.065,0.3250195,0.265,0.415,0.5249805
"2015",0.884961,0.285,1.155,0.6150195,0.095,0.115,-0.07501953
"2017",0.159961,0.69,-0.04,0.08001953,0.06,0.28,0.1099805
"2020",0.1149512,0.06499023,0.1349902,0.1050098,-0.1050098,0.4449902,0.0449707
"2023",0.334961,0.545,-0.505,0.6250195,0.195,0.115,0.5249805
"2026",-0.01501949,1.205019,0.3050195,0.865039,0.4450195,0.2150195,0.205
"2033",0.169961,0.54,0.48,0.6600195,0.65,-0.39,0.2599805
"2034",-0.005019493,-0.1049805,0.2750195,0.315039,0.07501949,-0.5449805,-0.09500004
"2044",0.354961,1.215,0.365,-0.3349805,0.255,-0.035,-0.4750195
"2046",1.044971,1.00501,0.2150098,0.5950293,-0.03499023,0.1050098,1.06499
"2047",0.194961,0.555,0.175,0.2250195,0.305,0.305,0.2249805
"2051",-0.125039,0.365,0.635,0.09501953,0.365,-0.365,0.6249805
"2052",0.689961,0.96,0.74,-0.7999805,-0.46,0.77,0.6699805
"2054",0.429961,0.04,0.35,-0.5999805,-0.22,0.1,-0.2800195
"2058",0.1549415,0.1949805,0.5249805,0.015,-0.3050195,0.3449805,0.8849609
"2061",0.234961,0.325,-0.515,0.2350195,-0.285,0.685,-0.3850195
"2062",0.04996101,0.2,-0.41,0.05001953,-0.54,0.47,-0.7700195
"2063",-0.587539,-0.0175,-0.5475,0.2425195,-0.9575,-0.1975,-0.5875195
"2067",0.114961,0.515,0.125,1.18502,0.285,-0.835,-0.7550195
"2069",-0.860039,1.78,-1.19,-0.8699805,-0.63,-1.8,-0.8800195
"2088",0.299961,-0.11,-0.21,-0.01998047,-0.23,0.55,0.05998047
"2089",0.119961,0.33,-0.12,1.953125e-05,-0.4,0.23,-0.1300195
"2093",0.07497078,-0.02499023,0.3450098,-0.0549707,-0.08499023,0.3450098,-0.7850098
"2094",0.04495125,-0.06500977,0.3749902,-0.3249902,-0.3450098,0.05499023,-0.3750293
"2096",0.08496101,0.125,0.235,0.005019531,-0.315,0.305,-0.2250195
"2099",-0.08003899,0.14,0.17,-0.3199805,-0.16,0.15,-0.1100195
"2101",0.2349512,0.3349902,0.6249902,-0.004990234,-0.2850098,0.2049902,0.1749707
"2107",-0.670039,-0.09,-1.21,3.45002,0.12,-0.67,0.6999805
"2109",-1.610039,0.2,-0.18,-0.02998047,-0.17,0.23,0.1499805
"2122",-0.245039,-0.545,0.035,-0.3849805,-0.385,-0.285,0.04498047
"2123",-0.1850488,-0.2750098,0.4049902,-0.05499023,-0.1550098,-0.3650098,-0.0950293
"2124",-0.265039,-0.045,0.275,-0.1049805,-0.285,-0.275,0.09498047
"2127",0.524961,0.585,0.495,0.1250195,0.055,-0.065,0.6549805
"2128",0.3299805,0.2200195,-0.1399805,0.320039,0.2000195,0.4800195,0.34
"2131",0.409961,0.16,0.1,0.4100195,-0.05,0.55,0.6199805
"2134",0.2149708,0.4050098,0.6250098,0.4550293,-0.6249902,-0.07499023,0.9449902
"2138",0.129961,-0.2,0.33,0.1700195,0.27,-0.05,-0.3800195
"2143",0.08495125,0.6149902,0.1849902,0.08500977,0.08499023,0.06499023,-0.005029297
"2145",-0.3550488,0.05499023,0.5049902,0.2950098,0.3849902,-0.02500977,0.1549707
"2157",-0.05003899,-0.01,-6.071532e-18,0.2600195,8.673617e-19,0.22,0.06998047
"2162",0.3199708,-0.02999023,1.07001,0.0300293,0.01000977,0.1500098,-0.6900098
"2163",0.249961,0.18,0.12,-0.1799805,0.66,-0.48,-0.8400195
"2164",-0.3400488,-0.02000977,0.7599902,-0.1299902,0.8399902,-0.4500098,-0.5200293
"2170",0.3999708,0.5500098,0.4600098,0.2500293,0.04000977,-0.3899902,-0.4800098
"2171",0.1449708,0.2950098,0.1450098,0.1650293,0.2150098,0.04500977,-0.005009766
"2178",0.124961,-0.255,-0.075,0.2250195,-0.135,-0.465,-0.7350195
"2180",-0.410039,0.1,0.09,-0.4499805,-0.66,-0.55,-0.6300195
"2184",0.509961,0.82,-0.07,0.1300195,0.43,0.17,-0.04001953
"2186",0.304961,0.855,0.095,0.7750195,0.975,1.755,0.9249805
"2187",0.467461,0.7875,0.5775,0.7475195,-0.0025,2.3475,0.3174805
"2188",0.147461,0.5075,0.0675,0.3675195,0.0475,1.2275,-0.3825195
"2190",0.8349512,0.4649902,0.08499023,0.03500977,0.7449902,0.5349902,0.0649707
"2195",-0.3900292,0.4700098,9.765625e-06,0.3100293,0.5100098,1.24001,0.2399902
"2200",-0.225039,-0.275,-0.345,-0.1649805,0.605,-0.155,-0.2050195
"2201",-0.07003899,-0.14,-0.14,0.1700195,0.5,0.8,-0.03001953
"2203",0.209961,-0.65,-0.7,0.7600195,0.14,0.52,-0.4700195
"2208",-0.5300488,0.4999902,-0.3600098,-1.04999,-0.3700098,0.9699902,-0.3000293
"2210",-0.170039,-0.34,-0.35,0.1000195,-0.03,0.17,-0.3800195
"2211",0.3499512,0.3099902,-0.2600098,-0.2099902,0.1199902,-0.02000977,0.4699707
"2217",0.06995125,0.04999023,0.4099902,0.4900098,-0.1500098,-0.1100098,-0.2300293
"2219",-0.170039,-0.4,0.48,0.1500195,-0.67,0.19,0.04998047
"2221",-0.545039,0.025,0.185,-0.2049805,0.135,0.165,-0.07501953
"2222",-0.625039,-0.115,0.025,-0.4049805,0.275,0.265,-0.1050195
"2225",0.444961,0.755,0.025,-0.4649805,-0.465,0.335,-0.005019531
"2228",0.759961,0.62,0.62,0.7300195,0.6,1.56,0.9599805
"2229",-0.265039,0.575,-0.245,-0.5049805,0.085,0.415,0.4749805
"2237",-1.94931e-05,0.05001949,0.1600195,0.02003902,0.7400195,0.4900195,0.07999996
"2241",0.03995125,-0.3800098,0.2799902,9.765625e-06,0.2299902,0.3499902,-0.3400293
"2242",0.224961,0.915,-0.665,1.25502,2.135,2.685,-0.2650195
"2243",0.324961,-0.195,-0.025,-0.3249805,0.195,1.205,0.05498047
"2247",-0.4100195,-0.3799805,-0.07998051,-0.559961,0.3400195,1.400019,-0.05000004
"2249",0.02995125,-0.4200098,0.08999023,0.7200098,0.6499902,0.7599902,0.8699707
"2250",-0.220039,0.31,-3.469447e-18,0.8900195,1,0.71,0.7799805
"2252",-0.275039,0.325,0.485,-0.5449805,0.185,0.255,0.4949805
"2254",0.214961,0.125,0.425,0.7150195,0.245,0.535,0.6649805
"2259",-0.700039,-0.42,-0.38,-0.1299805,-0.43,0.11,0.08998047
"2260",0.004980507,-0.2349805,-0.1449805,-0.234961,0.09501949,-0.1949805,0.235
"2263",0.04996101,0.31,0.23,-0.1599805,0.11,-0.4,0.2399805
"2265",0.394961,-0.125,0.865,0.1650195,0.095,-0.195,-0.09501953
"2267",-0.1050488,0.5649902,0.1749902,0.1250098,-0.005009766,0.2249902,0.1249707
"2272",0.417461,0.7075,0.2275,0.05751953,0.1775,1.0175,0.06748047
"2276",-0.06503899,0.105,0.015,-0.1549805,0.255,0.515,-0.04501953
"2277",0.05498051,0.4550195,-0.1149805,-0.02496098,-0.2649805,0.8850195,-0.01500004
"2278",-0.01001949,0.07001949,0.1900195,0.110039,0.3100195,0.7400195,-0.31
"2282",0.394961,0.655,0.135,0.7050195,0.395,0.405,0.04498047
"2283",0.209961,0.6,0.01,0.4500195,0.14,0.12,0.1099805
"2287",0.374961,0.055,0.605,1.06502,0.415,0.365,1.01498
"2290",-0.525039,0.125,-0.045,0.4150195,0.135,-0.585,0.2949805
"2294",0.09996101,0.34,0.12,0.8500195,0.37,0.06,1.20998
"2295",0.457461,1.1375,0.3075,0.2175195,0.1375,-0.4225,-0.3725195
"2298",-0.09003899,0.49,0.22,1.34002,0.9,0.64,0.1099805
"2300",0.009961014,0.28,0.14,0.01001953,0.42,0.74,-0.03001953
"2302",0.2299512,0.2699902,0.1399902,9.765625e-06,0.09999023,0.08999023,0.3699707
"2303",0.314961,0.415,0.375,-0.1149805,0.215,-0.175,0.2849805
"2323",-0.08002922,-0.6399902,0.2500098,0.7900293,-0.2899902,0.6500098,0.009990234
