"","V23","V56","V59","V60","V61","V62","V63","V64"
"1224",0.095,0.255,0.105,-0.595,0.015,-0.245,-0.565,-0.455
"1226",0.06501949,-0.5149805,-0.01498051,0.08501949,0.005019493,-0.1449805,-0.6149805,0.1850195
"1228",-0.165,-0.345,0.025,0.065,0.165,-0.955,-0.335,0.795
"1235",-0.295,0.605,-0.795,0.295,0.055,-0.815,-0.045,0.065
"1244",0.2050098,-0.8849902,0.07500977,-0.004990234,-0.02499023,0.1550098,-0.7049902,-0.4949902
"1254",-0.045,-1.055,-0.025,0.815,0.165,-0.175,0.385,0.435
"1260",-0.0175,0.0425,-0.4575,-0.0675,0.2825,-0.2575,0.4225,-0.0175
"1261",0.0375,-0.5325,-0.6325,0.5675,0.0775,-0.5825,0.2975,-0.0525
"1262",-0.02500977,-0.4550098,-0.5450098,-0.7150098,-0.005009766,-0.3750098,0.07499023,0.07499023
"1270",-0.3699902,0.8700098,-0.4199902,-0.6099902,-0.2099902,-0.5799902,9.765625e-06,-0.9899902
"1278",-0.3475,0.3825,0.1025,-0.3375,-0.2475,-0.2775,-0.8175,-0.5875
"1282",-0.26,-0.01,-1,-0.53,-0.33,-0.13,-0.66,-0.47
"1284",0.345,0.015,-0.325,-0.145,0.205,-0.115,0.025,0.235
"1289",0.275,0.805,-1.115,0.635,-0.175,0.075,0.155,0.375
"1290",0.3399902,0.2999902,-0.8000098,0.6399902,-0.3200098,-0.1400098,0.3099902,0.8499902
"1293",0.5699902,-0.1800098,-0.5700098,-0.1500098,-0.5400098,-0.5200098,-0.2500098,-0.2900098
"1296",0.22,1.355253e-20,-0.69,-0.67,-0.52,-0.15,-1.355253e-20,0.24
"1299",0.005,0.255,0.095,0.375,-0.545,-0.475,0.585,0.225
"1306",0.115,-0.315,-0.395,0.315,-0.455,-0.365,-0.005,0.365
"1307",0.155,-0.375,-1.155,0.185,-0.485,-0.625,0.115,0.235
"1312",-0.025,0.455,-0.615,-0.265,-0.215,0.025,0.205,-0.125
"1317",0.275,-0.155,-0.385,-0.035,-0.465,0.075,0.445,-0.225
"1324",-0.4700195,0.7399805,-0.6500195,-0.1200195,-0.3200195,0.6399805,0.9199805,0.4399805
"1325",-0.465,-0.345,-0.245,0.085,-0.275,0.505,0.135,0.225
"1328",-0.245,-0.195,0.005,0.095,-0.085,0.645,0.485,-0.205
"1334",-0.21,-0.65,0.36,-0.81,-0.03,0.02,-0.63,0.72
"1336",-0.525,0.425,-0.725,0.315,0.395,0.215,-0.375,0.215
"1338",-0.2099902,0.1100098,-0.2399902,-0.3299902,0.01000977,0.5000098,0.1800098,0.1100098
"1346",-0.075,-0.475,-1.075,-1.535,0.025,-0.785,-0.805,-1.215
"1348",-0.21,0.32,-0.24,-0.28,0.16,0.14,-0.24,-0.28
"1349",-0.165,0.255,0.085,-0.325,0.045,0.155,-0.485,-0.155
"1350",-0.33,0.06,-0.04,-0.66,0.29,0.33,0.1,0.3
"1353",-0.29,0.35,0.15,-0.15,0.01,0.45,-0.06,-0.12
"1358",-0.2349805,-0.2649805,0.09501949,0.4750195,0.1750195,-0.1449805,1.115019,0.3750195
"1359",-0.125,-0.655,-0.785,0.605,-0.415,0.375,0.605,0.545
"1364",-0.345,-0.225,0.745,0.865,0.175,0.685,0.085,0.595
"1365",-0.28,0.49,0.92,1.55,0.81,0.62,0.67,-0.55
"1368",-0.5399902,-0.1799902,0.3300098,0.4700098,-0.3499902,0.1800098,-0.07999023,-1.33999
"1370",-0.5,0.39,0.36,0.2,0.26,0.18,0.5,-1.03
"1385",0.62,-0.95,-0.35,-0.19,0.45,0.34,0.31,-0.44
"1401",-1.387779e-17,0.67,0.49,-1.37,0.43,1,0.36,0.67
"1402",0.26,1.05,0.01,-1.06,0.83,2.03,0.02,1.42
"1413",-0.8749903,-0.09499027,0.2750097,-0.1349903,0.2750097,-0.3749903,0.3550097,-0.4749903
"1419",0.1200098,0.6400098,-0.08999023,0.2100098,0.1500098,0.3100098,0.9200098,-0.2199902
"1420",0.395,0.615,-0.545,0.135,-0.005,0.055,-0.025,-0.435
"1422",0.35,0.67,-0.58,0.24,0.12,0.01,0.32,0.1
"1424",1.035,0.455,0.255,0.145,-0.105,-0.075,0.065,0.085
"1426",0.3149902,-0.2850098,0.2449902,0.2449902,0.1449902,0.08499023,0.1449902,-0.6050098
"1427",0.1875,-0.1925,-0.0425,0.5575,0.4975,0.0675,0.3075,-0.6325
"1428",0.165,1.125,-0.425,0.955,0.935,0.325,0.205,-0.395
"1429",0.295,1.715,0.385,1.115,0.545,0.385,-0.145,0.265
"1436",0.7400195,1.680019,0.2900195,0.5700195,0.3400195,-0.01998051,0.3700195,0.08001949
"1439",-0.04,1.39,0.39,0.64,0.6,0.31,0.84,-0.58
"1441",-0.075,0.615,-0.005,0.255,0.115,0.655,0.135,-0.075
"1444",0.1775,0.7875,0.8275,0.7075,0.2675,0.4675,0.0875,-0.0825
"1445",0.6625,1.3525,1.1625,1.1425,0.8525,1.3625,0.5325,1.2925
"1446",0.7150098,1.29501,1.16501,1.21501,1.05501,1.29501,0.6150098,1.39501
"1449",0.35,-0.09,0.29,-0.03,-0.37,0.46,0.1,0.82
"1452",0.1,-0.08,0.24,-0.03,-0.3,0.03,0.05,0.41
"1454",0.205,-0.025,-0.005,0.095,0.605,0.335,0.665,-0.275
"1455",-0.1199805,0.9900195,0.6000195,-0.1399805,0.5400195,0.4900195,0.5200195,0.05001949
"1456",-0.375,0.105,0.355,-0.235,1.255,0.705,-0.175,0.125
"1460",-1.07999,-0.5199902,-0.5299902,0.04000977,-0.6499902,-0.6099902,0.06000977,-0.1299902
"1461",0.22,3.469447e-18,0.33,0.26,-0.15,0.06,-0.11,0.27
"1462",0.675,0.085,-0.125,0.225,0.475,0.485,0.575,0.655
"1473",-0.2975,-1.0575,0.3625,-0.2075,0.3625,-0.2775,-0.1775,-0.5275
"1479",-0.555,-0.725,-0.375,-0.095,-0.045,0.285,0.145,-0.505
"1483",0.3499902,0.2199902,0.02999023,-0.1900098,-0.2000098,0.1399902,0.1299902,0.3699902
"1484",0.2249902,0.1949902,0.6449902,-0.6350098,0.2449902,0.6549902,0.3449902,0.6649902
"1492",0.64,0.13,-0.1,-0.46,0.34,-0.34,-0.06,-0.02
"1497",0.045,0.115,-0.315,0.715,0.145,-0.185,0.145,-0.215
"1501",0.25,-0.08,-0.76,-0.12,-0.05,-0.4,0.14,0.01
"1503",0.5100195,-0.2299805,-0.4299805,0.7500195,0.5700195,-0.1799805,0.7700195,0.3300195
"1506",0.79,0.43,-0.09,0.22,-0.19,-0.45,-0.2,-0.4
"1509",0.515,-0.005,-0.355,0.475,0.055,-0.415,-0.405,0.005
"1510",0.68,0.89,6.505213e-18,0.66,0.54,0.02,0.73,0.22
"1511",0.74,-0.08,-0.01,0.21,0.38,0.36,0.61,-0.12
"1512",0.095,-0.215,-0.275,-0.135,0.165,0.505,0.275,0.305
"1513",-0.045,-0.395,-0.895,0.135,0.185,0.415,0.255,0.265
"1514",0.1650098,-0.5349902,-0.1249902,-0.07499023,-0.2149902,0.1150098,-0.2549902,0.2650098
"1519",-0.2599902,-0.05999023,0.4000098,-0.1799902,-0.08999023,-0.3699902,-0.4099902,-1.17999
"1521",0.34,1.24,-0.25,-0.18,-0.27,-0.51,0.15,-0.72
"1522",-0.1249805,-0.1249805,-0.004980507,-0.08498051,-0.2049805,-0.6849805,0.03501949,0.2350195
"1524",-0.015,0.665,-0.005,0.265,-0.565,-1.685,-0.095,0.395
"1528",-0.06499023,0.3550098,0.05500977,0.5050098,-0.3349902,-1.55499,-0.5249902,-0.02499023
"1532",0.76,1.23,0.08,-0.75,0.08,-1.36,-0.38,1.55
"1535",0.375,0.695,-0.435,0.425,-0.425,0.245,-0.115,-0.095
"1536",0.1925,-0.4075,-0.2375,0.0625,0.0725,-0.7375,0.2525,-0.1275
"1542",0.27,0.3,-0.27,-0.48,0.3,-0.43,-0.55,-0.72
"1547",0.405,0.305,-0.315,0.115,-0.355,-0.975,-0.105,-0.155
"1548",-0.2049805,0.7650195,-0.5449805,0.05501949,-0.2049805,-0.7449805,-0.2749805,-0.02498051
"1550",0.6500195,0.7200195,-0.8799805,0.6400195,-0.4199805,-1.109981,-0.3899805,-0.1099805
"1551",0.77,0.04,-0.49,0.01,0.03,-1.48,0.25,0.14
"1555",0.1250195,0.6450195,0.2450195,-0.1749805,-0.2449805,-0.2849805,-0.3149805,-0.1849805
"1556",-0.24,0.37,-0.36,-0.27,0.05,-0.28,-0.35,-0.11
"1557",-0.315,0.125,-0.345,-0.495,0.185,-0.355,0.085,-0.125
"1563",-0.195,0.275,-0.165,0.215,-0.065,-0.475,-0.115,0.025
"1565",0.71,0.39,-0.77,-0.12,-0.1,-0.44,-0.01,-0.05
"1567",0.54,-0.11,-0.42,0.09,-0.29,-0.27,-0.37,0.18
"1568",0.605,0.005,-0.635,-0.005,0.195,-0.065,0.105,0.095
"1569",0.905,0.925,-0.445,0.455,0.005,-0.745,-0.375,-0.145
"1575",0.365,0.575,-0.245,0.465,-0.245,-0.405,-0.095,0.035
"1583",0.41,1.03,0.34,-0.76,0.07,-0.62,-0.1,-0.07
"1585",0.01,-0.01,-0.98,-0.55,-0.15,-0.35,-0.04,0.1
"1587",-0.2750098,0.3449902,-0.4050098,0.3749902,-0.1550098,-0.6950098,-0.6350098,-0.1850098
"1588",-0.175,0.305,0.005,0.425,-0.275,-0.555,-0.365,-0.205
"1589",0.4150195,0.2450195,-0.1849805,0.4850195,-0.2549805,-0.5749805,-0.1849805,-0.3049805
"1594",-0.105,0.415,0.125,0.435,-0.435,-0.865,-0.615,-0.265
"1596",0.5,0.38,-0.03,0.24,0.24,-0.32,-0.59,-0.21
"1600",0.1299902,0.1499902,-0.4000098,0.2899902,0.1799902,-0.1200098,-0.4400098,-0.1400098
"1603",0.5625,0.8125,-0.1775,-0.0375,-0.2875,-0.2775,-0.3175,0.0625
"1605",0.855,1.535,0.195,-0.135,-0.045,-0.085,0.015,0.045
"1606",0.865,0.775,-0.045,-0.165,-0.005,-0.025,0.225,-0.065
"1607",0.34,-0.09,-0.33,-0.19,0.1,-0.14,-0.13,0.07
"1610",0.4300195,0.2800195,0.2600195,-0.2699805,-0.7699805,-0.06998051,-0.5599805,-0.01998051
"1617",0.38,0.19,0.05,8.605855e-19,-0.48,-0.09,0.44,-0.21
"1619",0.28,0.66,-0.35,-0.05,-0.42,0.45,0.55,0.08
"1621",0.11,0.41,-0.37,0.01,0.18,0.13,-0.18,0.27
"1622",-0.3000098,0.2999902,0.009990234,-0.1200098,0.1399902,0.2399902,-0.3100098,0.4499902
"1628",0.59,-0.15,-0.37,0.57,0.42,0.44,0.16,0.11
"1636",0.06499023,0.08499023,-0.3250098,-0.6450098,0.4649902,-0.7150098,-0.4150098,-0.3250098
"1640",0.3000098,-0.3799902,0.02000977,0.4400098,0.3600098,0.08000977,-0.6899902,0.1000098
"1641",0.275,-0.235,0.055,0.555,0.285,-0.005,-0.735,-0.165
"1642",0.13,-0.38,0.32,0.58,0.33,0.01,-1.12,-0.72
"1646",0.3400195,0.1000195,0.02001949,-0.03998051,0.1200195,0.1800195,-0.1199805,-0.1399805
"1648",-0.085,0.675,0.535,0.225,0.325,0.495,-0.345,0.225
"1649",-0.92,1.55,0.11,-0.38,0.02,-1.07,-1.35,0.3
"1652",-0.82,0.21,-0.22,-1.01,-0.55,-0.44,-1.04,0.39
"1657",-0.4350098,-1.24501,-0.2350098,-1.20501,-0.4150098,-0.5750098,-1.45501,0.3449902
"1658",-0.3049805,-0.1349805,0.1350195,-0.7349805,0.1350195,-0.8549805,-0.4449805,-0.3449805
"1660",-0.18,-0.11,-0.43,-0.87,-0.88,-0.32,0.29,-0.88
"1661",0.5849902,-0.1950098,-0.08500977,0.2649902,0.1749902,-0.2450098,0.4349902,-0.5150098
"1662",0.6400098,0.08000977,0.3900098,0.4700098,-0.1199902,-0.3399902,9.765625e-06,-1.01999
"1663",0.35,-0.54,0.11,-0.09,-0.32,-0.18,-0.74,-0.48
"1670",-0.3850098,-0.7250098,0.1949902,-0.1550098,-0.5850098,-0.4050098,0.03499023,-1.07501
"1673",0.54,-0.72,0.54,0.52,0.2,-0.72,-1.1,0.61
"1674",0.525,-0.775,0.585,0.655,0.325,-0.755,-1.105,0.585
"1677",0.135,-0.545,-0.055,-0.165,0.615,1.105,-0.355,-0.205
"1678",-0.195,-0.035,0.545,-0.145,-0.205,0.055,-0.305,-0.595
"1679",0.27,-0.28,0.78,-0.24,0.38,-0.28,-0.56,-0.18
"1680",0.245,-0.255,0.345,0.005,0.395,-0.295,-0.055,0.215
"1681",0.015,-0.285,0.305,0.055,0.105,-0.305,0.405,0.085
"1685",0.4725,0.8325,-0.0575,-0.6375,-0.3275,-0.5375,0.3525,-0.6775
"1691",0.34,-0.12,-0.65,-0.67,-0.25,-0.88,1.211596e-17,-0.75
"1693",0.355,-0.375,-0.395,-0.955,0.005,-1.865,-0.565,-1.195
"1697",0.055,-0.225,-0.015,-0.965,-0.895,-1.155,-0.045,-0.355
"1698",0.4150195,-0.6749805,-0.1749805,-0.5749805,0.7450195,-0.5449805,-0.5249805,-0.9249805
"1699",-0.01,-0.3,0.13,-0.54,-0.32,-0.36,-0.23,-0.27
"1702",0.06001949,-0.2099805,-0.3899805,-0.3699805,-0.3399805,-0.9299805,-0.4499805,-1.219981
"1703",0.68,0.01,-0.01,-0.65,0.13,-1.02,-0.15,-0.4
"1704",0.535,-0.025,0.185,-1.555,-0.615,-0.855,-0.905,-1.125
"1710",-0.17,-0.12,0.05,-0.54,-0.54,-0.44,-0.31,-0.73
"1719",0.8949902,-0.3350098,0.1549902,-0.3050098,-0.02500977,-0.1850098,0.5049902,0.1649902
"1723",0.01,-0.1,0.38,-0.47,-0.48,-0.94,-0.52,-0.08
"1728",-0.095,0.015,-0.575,0.025,-0.405,-0.385,-0.655,-0.375
"1729",0.075,-0.325,-0.065,-0.915,-0.335,-1.245,-1.255,-1.435
"1731",0.04499023,-0.4850098,-0.6050098,0.1549902,-0.2850098,-0.9650098,-0.7650098,-0.5950098
"1734",0.03,-1.57,0.24,-0.8,-1.8,0.27,-1.83,-0.86
"1735",-0.32,-0.73,-0.31,-0.48,-0.35,-0.19,8.646512e-18,-0.38
"1739",0.315,0.105,0.505,-0.265,0.005,-0.245,-0.705,-0.305
"1741",0.575,-0.505,-0.425,-0.265,-0.135,-0.475,-0.785,0.005
"1742",0.03999023,-0.5400098,-0.07000977,-0.3200098,0.1599902,-0.2900098,-0.4400098,0.1899902
"1745",0.095,-1.555,0.525,-1.215,-1.045,-0.975,-1.095,-0.085
"1747",0.05,0.4,0.17,-0.66,-0.65,-0.37,-0.77,-0.05
"1748",0.51,-0.53,-0.31,-0.04,-0.05,-0.42,-0.89,-1.32
"1753",0.51,0.75,0.81,0.21,0.78,0.1,-0.54,-0.65
"1756",0.4149902,-0.2550098,0.05499023,-0.4650098,0.4949902,-0.7250098,-1.12501,-0.4550098
"1759",0.03,0.2,-0.52,-0.36,0.25,-0.2,-0.25,-0.38
"1760",-0.42,1.06,0.45,-0.24,0.11,-0.4,-0.61,-0.58
"1765",0.305,-0.835,-0.095,-0.245,0.465,-0.045,-0.435,-0.085
"1767",-0.0625,-0.1325,-0.2625,-0.4825,0.2075,-0.4425,-0.3625,-0.3625
"1768",0.3400098,-0.08999023,-0.5099902,-0.6699902,0.4100098,-0.1399902,-0.6799902,-0.2899902
"1770",0.635,0.185,0.625,0.055,0.075,-0.125,-1.375,-1.015
"1775",0.245,1.085,0.035,0.005,0.615,-0.025,-0.845,-0.425
"1777",0.275,0.505,-0.335,-0.465,0.485,-0.465,-0.865,-0.555
"1781",0.35,0.49,-0.27,-0.17,0.01,0.22,-0.58,-0.26
"1782",-0.005,0.885,-0.175,-0.495,0.085,0.085,-0.695,-0.415
"1785",0.325,0.525,-0.205,0.015,0.115,0.115,-0.465,-0.185
"1786",0.42,0.77,-0.34,0.07,0.23,0.18,-0.26,-0.24
"1788",0.3,0.32,-1,-0.33,0.35,-0.26,-0.19,-0.32
"1789",0.07001949,0.4600195,-0.3299805,-0.1399805,0.2400195,-0.1699805,-0.1799805,0.1800195
"1790",-0.95,0.19,0.31,0.13,0.55,-0.82,-1.11,0.27
"1794",0.025,-0.085,0.215,-0.335,-0.305,-0.445,-1.015,0.185
"1797",0.065,0.315,-0.375,0.195,-0.415,-0.325,0.075,0.005
"1804",0.3,0.14,-0.51,0.37,0.16,0.23,-0.19,-0.31
"1808",-0.1749902,-0.4549902,-0.3849902,-0.1249902,0.05500977,0.3250098,-0.1149902,-0.2349902
"1810",-0.0425,-0.2725,0.2075,-0.9325,-0.3825,-1.0425,0.3075,-0.4525
"1812",-0.33,0.08,-0.32,-0.68,-0.05,0.02,6.925341e-18,-0.45
"1815",0.3,-0.45,-0.24,-0.29,0.37,-0.66,0.49,-0.33
"1820",0.73,-0.35,-0.67,-0.07,-0.11,-0.69,-0.26,-0.51
"1824",0.1799902,-1.00001,-0.4200098,-0.5300098,-0.5300098,0.1399902,0.4199902,-0.1400098
"1827",-0.4549805,0.09501949,0.1850195,-0.06498051,0.01501949,-0.05498051,-0.4549805,-1.014981
"1829",-0.205,0.345,0.295,-0.025,0.175,0.005,-0.275,-0.825
"1832",0.31,-0.73,-0.61,-0.64,-0.26,0.12,-0.12,-0.48
"1837",0.075,-2.045,-1.165,-0.555,-0.485,-0.385,-0.425,-0.355
"1838",-0.26,-0.85,-0.77,-1.4,0.39,-0.74,0.73,-0.99
"1842",-0.02,-0.87,0.27,-0.25,0.03,0.11,-0.2,-0.49
"1845",0.09999023,-0.8200098,-0.3300098,0.01999023,-0.3900098,-0.3200098,0.3899902,0.04999023
"1847",0.38,-0.17,-0.27,-0.19,-0.59,-0.07,0.08,-0.34
"1848",0.55,0.89,-0.62,-2.595309e-18,-0.2,-0.19,0.22,-0.08
"1850",0.5749902,0.01499023,-0.3350098,0.1449902,-0.1850098,-0.1450098,0.02499023,0.3449902
"1852",0.81,0.05,-0.23,0.09,0.23,-0.49,-0.08,-0.7
"1855",0.095,0.205,-1.115,-0.545,-0.015,-0.185,-0.385,-0.485
"1856",0.105,-0.295,-1.055,-0.385,0.315,-0.245,-0.435,-0.675
"1863",0.4750195,-0.3549805,-0.5349805,-0.2549805,-0.4349805,-0.4749805,-0.3849805,0.1650195
"1869",0.17,-1.04,0.06,-0.38,-0.6,-0.47,-0.45,-0.26
"1874",-0.305,-0.065,-0.425,-0.085,-0.575,-0.155,-0.405,-0.065
"1875",-0.075,-0.285,-0.565,0.135,-0.105,0.105,0.095,-0.385
"1876",0.1550098,-0.6649902,0.09500977,0.2850098,-0.2949902,-0.3349902,-0.5949902,-0.1849902
"1878",-0.1449805,-0.2649805,-0.6149805,-0.4349805,-0.7249805,-0.6549805,-0.5549805,-0.3949805
"1881",-0.66,-0.89,-0.4,-0.48,-0.9,-1.08,-0.95,0.09
"1884",-0.03,-0.2,-0.73,-0.26,-0.24,-0.44,0.17,-0.48
"1885",0.39,-0.18,-0.43,-0.1,-0.28,-0.51,-0.41,-0.27
"1890",0.015,0.055,-0.255,-0.245,-0.305,-0.805,-0.125,-0.015
"1893",-0.18,-0.34,-0.69,-0.37,-0.42,-0.28,-0.21,-0.51
"1894",-0.34,0.04,0.12,8.605855e-19,-0.58,-0.7,-1.08,-0.31
"1895",-0.0825,-0.2225,0.0075,-0.1625,-0.5925,-0.4025,-0.0825,-0.1725
"1896",-0.12,-0.43,0.17,-0.19,-0.42,-0.38,-0.24,0.05
"1899",0.0475,-0.4125,-0.7725,-0.2825,-0.3925,-0.2125,0.0575,-0.1725
"1903",-0.255,0.335,-0.375,0.375,-0.155,-0.605,-0.035,-0.105
"1904",-0.12,0.73,-1.04,-0.56,-0.56,-0.4,-0.64,-0.39
"1905",-0.57,0.03,-0.36,0.16,-0.15,-0.33,0.34,-0.18
"1912",-0.3099902,-0.5099902,-0.07999023,-0.6899902,-0.7399902,-0.6999902,-0.9199902,-0.02999023
"1913",-1.125,-0.205,-0.675,-0.335,-0.455,-0.705,-0.585,-0.165
"1916",0.045,0.125,-0.815,-0.175,-0.345,-0.705,0.145,-0.155
"1918",-0.34,0.5,-0.41,-0.19,-0.84,-1.06,-0.96,-0.2
"1920",0.01499023,-0.1350098,-0.3250098,-0.4450098,-0.5350098,-0.7050098,-0.4150098,-0.3950098
"1922",0.18,-0.04,-0.15,-0.43,-0.22,-0.1,0.43,-0.39
"1923",-0.135,0.025,-0.125,-0.335,-0.565,-0.255,-0.665,-0.315
"1926",0.185,0.285,-0.865,-0.585,-0.585,-0.555,-0.275,0.325
"1928",0.235,0.295,-0.025,-0.455,-0.785,-0.485,-0.245,-0.335
"1934",0.05000977,-0.1599902,-0.4299902,0.1900098,-0.1799902,-0.1299902,-0.1899902,-0.1699902
"1935",0.07501949,-0.2149805,-0.3749805,-0.3749805,0.5750195,-0.8349805,0.7250195,0.3250195
"1939",0.495,-0.685,-0.665,0.135,-0.195,-0.025,0.175,0.165
"1941",0.075,-0.355,-0.915,0.045,-0.255,-0.505,0.175,0.095
"1943",0.1799902,-0.5700098,-0.07000977,0.2199902,0.05999023,-0.6800098,-0.06000977,0.3099902
"1944",0.08499023,-0.8450098,0.2249902,1.23499,0.4349902,-0.1950098,0.2749902,1.06499
"1949",0.1475,-0.4525,0.2775,0.0175,-0.3325,-0.1425,-1.0925,-0.0125
"1950",0.075,-0.625,-0.215,-0.115,-0.495,-0.085,-1.135,-0.225
"1951",0.08501949,-0.6849805,-0.7049805,0.1750195,-0.3849805,0.01501949,-0.4849805,-0.1649805
"1956",-0.005,-0.475,-0.485,0.005,-0.315,-0.795,0.135,-0.285
"1957",0.01499023,-0.6650098,-0.3650098,-0.06500977,-0.3350098,-0.1650098,-0.2350098,-0.07500977
"1963",0.5150098,-0.1049902,0.2950098,-0.2249902,0.2850098,0.005009766,-0.1949902,0.01500977
"1964",0.45,0.59,-0.1,-0.4,0.11,-0.07,-0.02,-0.53
"1966",-0.11,-0.38,0.31,-0.31,-0.21,-0.41,0.2,0.73
"1967",-0.19,-0.43,-0.36,-0.03,0.26,0.03,-0.1,-0.1
"1970",0.425,0.075,-0.765,-0.075,0.195,0.015,0.585,-0.415
"1971",0.76,0.3,-0.15,0.12,0.35,-0.02,0.29,-0.13
"1972",-0.21,1,-0.32,0.23,0.22,-0.05,0.33,-0.5
"1978",-0.305,-0.075,0.165,-0.725,0.005,-0.815,0.315,-0.345
"1983",0.3149902,-0.8750098,0.3149902,-0.2250098,-0.02500977,-0.08500977,-0.7650098,-0.8350098
"1987",0.45,-0.15,0.27,-0.48,0.27,-0.46,-0.79,-0.74
"1988",-0.04,-0.65,0.21,-0.68,0.06,-0.47,-1.18,-0.43
"1989",-0.2499805,-1.069981,0.04001949,-0.5099805,-0.6599805,-0.8299805,-1.729981,-0.5999805
"1990",0.235,-0.155,-0.995,-0.895,-0.365,-1.065,-0.795,-0.115
"1992",-1.355,0.275,-0.925,-0.425,0.085,-0.055,-1.065,-0.725
"1993",-0.1049902,0.2750098,-0.4649902,-0.1649902,0.07500977,-1.06499,-0.3949902,0.1850098
"1994",1.734723e-18,0.19,-0.13,-0.13,0.21,-1.28,-0.59,-5.20417e-18
"1995",-0.5875,-0.7075,-0.4175,-0.5075,-0.6575,-1.2075,-0.3475,0.2025
"1998",-0.06,-0.37,-0.3,-0.15,-0.01,-1.08,-0.21,0.26
"2007",0.28,-1.43,-0.01,-2.28,-0.4,-0.16,-0.54,-0.12
"2010",-0.16,-0.49,-0.86,-0.56,-0.53,-0.62,-0.36,0.12
"2012",-0.095,-0.295,-0.355,-0.815,-0.055,-0.485,-0.225,-0.255
"2015",-0.265,-0.625,-1.545,-0.605,-0.765,-0.465,-1.105,-0.335
"2017",0.14,-0.05,-0.65,-0.11,-0.24,-0.72,0.23,-0.3
"2020",0.3749902,-0.2650098,-0.05500977,-0.7550098,-0.3150098,-0.7650098,-0.3550098,-0.3550098
"2023",0.175,0.035,-0.075,-0.895,-1.245,-0.975,-0.805,-0.625
"2026",-0.9349805,-1.064981,-0.2249805,-0.8249805,-1.344981,-0.9849805,-1.564981,-1.164981
"2033",-0.05,-0.56,-0.27,-0.56,-0.76,-0.49,-0.99,-0.43
"2034",0.2650195,-0.8049805,-0.2749805,-0.3249805,-0.6449805,-0.4349805,-0.7249805,0.07501949
"2044",0.075,-0.205,-0.315,-0.115,0.175,-0.195,-0.205,-0.215
"2046",0.4750098,-0.3149902,-0.6449902,-0.1549902,-0.3049902,-0.4749902,-0.5449902,-0.4749902
"2047",0.315,-0.025,-0.405,-0.455,-0.255,0.565,-0.135,0.015
"2051",0.115,0.455,-0.185,-0.385,0.345,-0.395,0.055,0.345
"2052",0.47,-1,-0.69,-0.2,0.39,-1.16,-0.43,-0.55
"2054",0.48,-1.15,0.02,-0.64,-0.37,-0.28,-0.52,-0.27
"2058",-0.7350195,-0.7050195,-0.1550195,-0.6850195,-1.16502,-1.04502,-0.6950195,-0.1250195
"2061",0.335,0.215,0.985,0.205,0.785,-0.155,-0.005,0.745
"2062",0.25,0.14,0.51,0.05,0.55,-0.52,-0.02,0.5
"2063",0.2325,-1.0175,0.4825,0.2825,0.2325,0.3125,0.0925,0.1625
"2067",-0.975,0.235,1.065,-0.115,-0.215,-0.085,1.035,-0.015
"2069",1.17,-1.03,0.81,0.7,-0.35,0.18,-0.15,0.17
"2088",0.34,-0.42,0.2,-0.15,0.38,1.11,0.48,0.74
"2089",-0.26,-0.08,-0.1,0.07,0.1,0.33,-0.11,0.32
"2093",0.005009766,0.5450098,-0.6549902,-0.09499023,0.06500977,-0.02499023,0.3950098,0.005009766
"2094",0.1549902,0.6749902,-0.5250098,-0.4850098,0.06499023,-0.3850098,0.2149902,-0.3250098
"2096",0.335,-0.095,-0.215,-0.095,0.265,-0.185,0.525,-0.345
"2099",0.3,0.37,0.22,-0.43,0.43,-0.38,-0.01,-0.43
"2101",-0.4850098,0.1349902,-0.1250098,-0.7250098,-0.3350098,0.6149902,-0.2450098,-0.1150098
"2107",0.68,0.2,-0.1,-1.45,0.06,-0.54,0.16,0.5
"2109",0.02,0.71,-0.15,-0.03,0.47,0.59,0.7,0.31
"2122",-0.455,0.025,0.695,1.065,0.505,-0.465,0.045,-0.135
"2123",-0.3650098,-0.1050098,0.4749902,1.10499,0.6849902,-0.4450098,0.1549902,-0.09500977
"2124",-0.525,0.325,1.015,0.245,0.965,-0.455,0.445,0.015
"2127",-0.055,-0.675,-0.005,-0.335,0.005,-1.085,0.175,-0.095
"2128",-0.4399805,-0.4799805,1.010019,-0.01998051,0.2600195,-0.1599805,0.08001949,-0.1999805
"2131",-0.16,-0.71,0.47,0.21,0.31,-0.68,-0.44,-0.7
"2134",-0.06499023,-0.2949902,-0.4449902,0.7850098,1.07501,-0.5949902,0.02500977,-0.6149902
"2138",-0.1,0.1,-0.33,0.19,0.36,-0.24,0.21,-0.48
"2143",0.1149902,-0.1950098,-0.09500977,-0.1350098,0.6149902,-0.4950098,-0.2550098,-0.4050098
"2145",0.2849902,-0.2750098,-0.1850098,0.2849902,0.8049902,0.2749902,1.01499,-0.1450098
"2157",-0.36,-0.68,0.15,0.18,-0.17,-0.21,-0.24,-0.15
"2162",-0.2299902,-0.1599902,-0.1499902,0.6700098,0.3900098,-0.05999023,0.4500098,-0.3499902
"2163",0.38,0.49,0.56,-0.05,0.51,0.09,0.26,0.25
"2164",0.04999023,1.36999,0.2899902,0.5599902,0.6899902,0.9499902,0.4399902,0.09999023
"2170",0.1800098,-0.01999023,-0.05999023,-0.07999023,-0.1399902,0.1100098,-0.3599902,-0.1899902
