"","V9","V10","V19","V31","V32","V33","V53","V54","V55"
"1084",-0.345,-0.595,-1.195,0.225,0.225,0.15,0.1850195,-0.205,-0.155
"1091",-0.495,0.285,-0.615,-0.425,-0.715,0.11,0.6450195,-0.025,0.165
"1094",-0.23,-0.88,-0.23,0.03,0.38,-0.215,0.3900195,0.78,1.09
"1095",0.585,-1.775,-0.005,0.445,-0.095,-0.38,-0.1949805,0.155,1.985
"1104",-1.41,0.24,0.97,-0.69,-1.02,-0.125,-0.4599805,-1.35,-1.53
"1105",-1.5,0.35,2.26,-1.21,-1.89,0.225,-0.5999805,-3.12,-2.53
"1115",-0.09998051,-0.4599805,-0.01998051,0.1200195,0.9000195,-0.054980507,0.03003902,-0.3499805,-0.01998051
"1118",-0.345,0.185,0.165,-0.005,-0.175,0.15,0.7550195,-0.145,-0.595
"1119",-0.4000098,-0.2400098,0.9099902,-0.2700098,-0.07000977,-0.365009766,-0.04999023,0.009990234,0.2699902
"1122",-1.025,0.265,-0.815,0.365,0.455,0.2,0.5750195,-0.325,-0.325
"1123",-0.375,-0.925,0.535,-0.025,0.045,0.48,0.2850195,-0.175,-0.545
"1125",-0.665,0.125,0.005,0.895,0.025,-0.39,0.4550195,0.005,-0.785
"1126",-1.1,-0.52,-0.67,0.18,0.31,-0.345,-0.2699805,-0.56,0.52
"1127",-0.915,-0.225,-0.125,0.255,0.825,-0.07,-0.06498047,-0.205,0.605
"1128",-1.08,-1.19,-0.72,0.55,-0.35,-0.205,-0.4799805,-0.73,-0.15
"1132",-1.379981,0.3300195,-0.7099805,0.4700195,-0.3499805,-0.744980507,0.880039,-0.08998051,-0.1799805
"1133",-0.915,0.415,0.305,0.575,-0.305,-0.54,-0.5049805,-0.385,-0.185
"1137",-0.825,0.465,-0.295,0.215,-0.075,0.64,0.2850195,-0.115,0.345
"1138",-1.58501,0.6449902,1.62499,0.4749902,-0.2350098,0.149990234,-0.1849902,-0.3950098,-0.7950098
"1144",-1.335,-0.085,0.495,0.355,-0.365,0.98,-0.3049805,0.405,0.075
"1151",-0.765,-0.245,0.135,0.525,-0.525,0.53,-0.8649805,0.475,-0.285
"1155",0.3425,-0.8075,1.7625,-0.5475,-0.5675,-0.0025,-0.1074805,0.2025,0.4025
"1156",0.2349902,-0.6550098,1.92499,-0.03500977,-0.3450098,0.519990234,0.06500977,0.07499023,0.3949902
"1158",-0.31,-0.31,1.38,-0.49,-0.02,-0.375,-0.09998047,-0.27,-0.2
"1159",-0.64,-0.84,1.09,-0.65,-0.7,0.215,0.1000195,-0.21,-0.74
"1161",-0.14,-0.66,1.13,-0.67,-0.59,0.065,0.03001953,0.58,0.01
"1167",0.02001949,-1.009981,0.8100195,-0.7099805,0.2100195,0.285019493,-0.509961,0.2500195,0.5800195
"1178",0.715,-0.075,-1.345,-0.625,0.515,-0.38,-0.1649805,-0.295,-0.575
"1181",-0.355,-0.405,-0.415,-0.165,0.265,-0.42,0.4250195,-0.575,0.325
"1190",-0.3,0.13,-0.03,0.01,0.45,-0.235,-0.2099805,-0.28,-0.02
"1192",-0.065,-0.025,-0.065,0.245,0.275,-0.23,-0.4249805,-0.635,-0.345
"1194",-0.105,-0.725,-0.305,0.435,0.015,0.88,0.3650195,0.165,-0.145
"1195",0.06000977,-0.4199902,-0.4299902,0.6500098,-0.07999023,0.445009766,0.3300293,0.3600098,0.1400098
"1198",-0.165,-0.665,0.345,0.405,-0.235,1.52,0.1550195,-0.175,-0.205
"1204",-0.65,0.19,-0.78,-0.75,-0.17,0.045,0.3900195,0.2,-1.01
"1214",0.3800195,-0.1599805,-1.119981,-0.08998051,0.08001949,-0.254980507,-0.03996098,0.3500195,1.560019
"1215",0.01,0.17,-0.13,-0.25,-0.37,-0.325,-0.02998047,-0.19,0.23
"1224",-0.495,-0.695,-0.485,0.445,0.065,0.23,0.01501953,0.425,1.125
"1226",0.1550195,0.1750195,-0.7449805,-0.2949805,0.3750195,0.600019493,0.365039,0.5150195,0.6050195
"1228",0.095,0.035,-1.165,-0.715,0.565,2.81,-0.05498047,0.695,1.835
"1235",0.335,-0.145,-0.655,-0.975,0.105,-0.34,0.1050195,-0.125,-0.585
"1244",0.04500977,0.6650098,-1.15499,-0.2249902,0.4550098,0.540009766,0.4050293,-0.1249902,-0.3749902
"1254",-0.445,-0.355,-0.505,-0.355,-0.015,0.91,1.11502,0.975,0.095
"1260",0.5925,-0.0175,-0.1375,-0.0875,0.0825,0.0175,0.03251953,0.2325,-0.6175
"1261",-0.0025,0.2275,-0.3425,-0.6925,0.1475,0.0025,0.1275195,-0.4525,-0.1625
"1262",0.8749902,0.3149902,-0.2150098,-0.5150098,-0.3250098,-0.530009766,0.005009766,0.3049902,-0.2050098
"1270",0.1600098,-0.4499902,0.5600098,0.2900098,-0.5499902,-0.074990234,0.6700293,0.1000098,-0.6299902
"1278",0.3425,-0.9075,0.6125,0.5325,-0.2575,0.5375,0.2625195,-0.2675,0.0825
"1282",-0.15,0.19,0.25,-0.36,0.34,0.145,0.3500195,0.2,-0.8
"1284",0.875,-0.015,-0.255,-0.375,0.255,-0.05,-0.04498047,0.355,0.645
"1289",-0.265,-0.135,0.155,-0.445,-0.275,-0.18,0.3450195,-0.025,-0.575
"1290",0.1599902,0.2499902,0.05999023,-0.2100098,-0.3300098,-0.155009766,-0.05999023,0.4699902,-0.4500098
"1293",0.5899902,0.1199902,-0.7600098,-0.1300098,-0.3600098,-0.245009766,-0.01999023,0.6299902,0.4499902
"1296",0.16,0.65,-0.38,0.43,-0.27,-0.775,-0.6799805,0.5,0.01
"1299",0.385,0.005,-0.545,0.055,0.325,-0.06,-0.5449805,-0.085,-0.625
"1306",-0.365,0.665,-0.395,0.235,-0.105,-0.27,0.1850195,0.535,0.235
"1307",0.215,0.815,-1.055,0.355,-0.125,-0.41,0.3550195,0.365,0.355
"1312",0.415,0.235,-1.245,0.085,0.395,0.24,-0.4149805,-0.235,-0.485
"1317",0.375,0.155,-0.705,-0.255,0.625,0.43,-0.03498047,0.015,0.045
"1324",-1.953125e-05,-0.01001953,-0.6300195,0.5599805,0.5599805,0.004980469,8.131516e-19,-0.1100195,0.5899805
"1325",-0.875,0.155,-0.965,0.075,0.535,-0.69,-0.3949805,-0.185,-0.245
"1328",-0.555,-0.215,-0.775,0.085,0.555,-0.1,-0.4449805,0.575,0.145
"1334",-0.31,0.09,1.97,-0.29,-0.48,3.285,0.5100195,-0.11,0.09
"1336",0.075,-0.985,0.235,-0.395,-0.145,0.48,-0.2549805,0.645,0.325
"1338",-0.2199902,-1.28999,0.5900098,-0.1099902,0.02000977,0.665009766,-0.2199707,0.04000977,0.5800098
"1346",0.285,-2.185,0.565,-0.105,0.585,0.78,0.2350195,-0.445,-0.005
"1348",0.14,-1.42,-0.28,-0.26,0.2,0.495,0.6300195,0.03,0.29
"1349",0.375,-1.365,-0.475,-0.105,0.395,0.56,0.3150195,0.235,0.255
"1350",-0.02,-0.83,-0.71,0.21,0.26,0.765,-0.2299805,0.09,0.2
"1353",0.36,-0.01,-0.02,0.4,0.17,0.245,-0.5199805,0.12,0.3
"1358",0.1850195,-0.9249805,-0.6549805,0.08501949,-0.2749805,0.450019493,-0.104961,0.08501949,0.2650195
"1359",0.275,-0.115,-0.955,0.675,-0.235,-0.43,-0.3349805,0.615,0.015
"1364",-0.205,-0.685,-0.175,0.485,-0.395,-0.39,0.2050195,-0.035,-0.485
"1365",0.72,-0.52,-0.14,1.24,-0.26,-0.595,0.8200195,-0.01,-0.37
"1368",-0.1199902,-0.8799902,-0.7799902,0.4900098,-0.8599902,-0.474990234,0.2200293,0.2600098,-0.8699902
"1370",-0.08,-1.13,-0.38,0.52,-0.29,-0.405,-0.09998047,-0.04,-0.46
"1385",-0.29,0.4,-1.14,0.73,-0.29,0.415,0.1800195,0.33,0.22
"1401",0.02,-0.36,-1.21,0.75,-0.04,-0.765,1.45002,-0.02,0.88
"1402",-0.11,-0.04,-0.56,1,0.45,-0.665,1.13002,-0.11,-0.28
"1413",-0.5849903,-0.1149903,-0.09499027,0.4150097,0.3750097,0.900009727,-0.4649707,0.08500973,0.3450097
"1419",-0.3999902,0.1800098,-0.5099902,0.7300098,0.4100098,0.465009766,-0.1999707,-0.08999023,0.1500098
"1420",-0.215,0.055,-0.235,-0.325,-0.435,-0.51,0.8050195,-0.335,0.655
"1422",-0.33,-0.08,-0.05,-0.3,-0.15,-0.125,0.08001953,-0.17,0.16
"1424",-0.025,0.155,-0.535,-0.995,-0.165,-0.49,-0.1249805,0.145,-0.335
"1426",-0.3550098,-0.5350098,-0.1650098,-0.1950098,0.5049902,0.519990234,0.01500977,0.8149902,0.05499023
"1427",-0.2225,-0.2825,-0.9925,0.0075,0.5775,0.6225,-0.02248047,0.7375,0.6475
"1428",-0.425,-0.475,-1.265,0.375,0.135,0.64,-0.8249805,0.445,-0.055
"1429",-0.115,-0.615,0.255,-0.105,0.235,0.5,0.2350195,0.185,-0.075
"1436",-0.5299805,-0.9899805,0.2400195,-0.03998051,0.3500195,0.855019493,0.190039,-0.2699805,0.3900195
"1439",-0.79,-0.54,-0.13,-0.45,0.11,0.445,-0.1199805,-0.65,-0.11
"1441",-0.445,-0.515,0.785,0.365,0.265,-0.02,-0.3049805,-0.135,0.075
"1444",-0.7325,-0.7025,0.9275,0.0175,-0.4325,-0.0075,-0.9924805,0.6275,-0.4325
"1445",-0.4575,-0.3575,1.3725,-0.9375,-0.4075,0.0075,-0.7974805,-0.7275,-0.8275
"1446",-0.5649902,-0.4049902,1.36501,-0.7849902,-0.4849902,-0.189990234,-1.034971,-0.8749902,-0.8649902
"1449",-0.41,0.33,-0.33,0.28,0.64,0.305,-0.4599805,-0.06,0.01
"1452",-0.68,0.36,-0.87,-0.21,0.69,0.165,-0.1999805,-0.2,-0.28
"1454",-0.105,-0.265,-0.535,0.055,0.385,-0.18,-0.3249805,0.205,0.175
"1455",-0.6899805,0.7500195,-0.1699805,0.3600195,0.4400195,0.505019493,-0.169961,-0.2699805,-0.4599805
"1456",-0.645,1.215,-0.485,0.345,0.185,0.29,0.01501953,-0.105,0.305
"1460",-0.3299902,-0.2999902,-0.3999902,-0.1999902,-0.03999023,0.105009766,-0.0399707,-0.1399902,0.07000977
"1461",-0.6,-0.72,-0.11,-0.74,-0.33,0.075,-0.4799805,-0.02,0.02
"1462",-0.275,-0.315,0.165,0.225,-0.015,0.14,-0.6749805,0.695,0.305
"1473",-0.4775,-0.4475,0.7325,-0.2475,-0.3575,-0.0125,-0.4474805,-0.5175,-0.0675
"1479",-0.385,-0.745,-1.515,0.555,0.385,0.21,0.8950195,0.325,0.005
"1483",0.08999023,-0.05000977,-9.765625e-06,0.4199902,-0.3700098,-0.735009766,0.03000977,0.04999023,0.2999902
"1484",-0.3450098,0.9049902,-0.7050098,-0.2250098,-0.1050098,-0.250009766,0.03500977,0.4649902,0.8449902
"1492",0.52,3.469447e-18,-0.51,-0.05,-3.469447e-18,0.275,1.953125e-05,0.64,-0.11
"1497",-0.155,-0.085,-0.435,-0.485,0.155,0.04,0.1550195,0.815,-0.055
"1501",-1.01,0.47,-0.2,-0.63,0.15,0.335,-0.07998047,-0.15,0.56
"1503",0.6000195,0.3100195,-0.4799805,-0.009980507,1.110019,-0.164980507,0.350039,0.6800195,0.6100195
"1506",0.04,-0.23,-0.29,-0.43,0.43,0.275,0.2500195,1.07,0.2
"1509",0.035,-0.125,-0.625,-0.365,0.635,0.2,0.5050195,0.385,0.735
"1510",-0.2,-0.49,-0.04,-0.11,0.83,0.855,-0.1999805,0.7,1.04
"1511",0.18,-0.23,0.1,-0.23,-0.09,0.365,0.2500195,0.1,0.44
"1512",0.125,-0.045,0.075,-0.005,0.095,0.6,-0.1649805,0.165,0.445
"1513",-0.095,0.005,0.205,-0.045,0.305,0.47,-0.1649805,0.035,0.105
"1514",0.01500977,0.09500977,0.2050098,-0.04499023,0.5650098,0.280009766,0.0450293,0.1450098,-0.004990234
"1519",0.02000977,-0.1899902,-0.7999902,-0.3699902,0.02000977,-0.384990234,-0.7899707,-0.3699902,-0.1499902
"1521",-0.01,-0.31,0.71,-0.18,-0.09,0.535,-0.3399805,-0.02,0.37
"1522",0.4750195,-0.3249805,-0.3049805,-0.3549805,0.005019493,0.180019493,-0.234961,0.3550195,0.5250195
"1524",0.255,-0.305,0.615,-0.145,0.055,0.03,-0.4449805,-0.275,0.085
"1528",0.1350098,-0.2049902,-0.8449902,-1.07499,0.1650098,0.530009766,0.1550293,0.1350098,-0.4249902
"1532",-0.24,-0.44,0.08,-0.3,-0.02,0.035,-0.3599805,0.23,-0.05
"1535",-0.315,-0.295,0.065,0.155,-0.145,0.18,-0.1949805,0.065,0.465
"1536",0.1625,0.0625,0.0525,0.4725,-0.1975,-0.1025,-0.6174805,-0.4775,0.6325
"1542",3.455894e-18,0.28,-0.07,0.51,-0.06,0.305,-0.1299805,0.06,-0.12
"1547",0.035,-0.075,0.215,-1.085,0.345,0.2,-0.3149805,-0.765,0.185
"1548",0.1750195,-0.07498051,-0.1949805,-0.7949805,0.3850195,0.210019493,0.07503902,-0.6249805,0.1350195
"1550",0.2900195,0.06001949,-0.4599805,-0.7499805,0.3900195,0.425019493,-0.879961,-0.5899805,0.9200195
"1551",-0.1,-0.85,-0.74,-0.91,-0.04,0.675,-0.3899805,-0.65,0.65
"1555",0.3350195,-0.3949805,-0.06498051,-0.7949805,-0.1749805,0.590019493,-0.364961,-0.1649805,0.5750195
"1556",0.23,-0.02,-0.31,-0.61,-0.03,0.525,-0.4099805,-0.3,0.63
"1557",0.055,0.305,0.725,-0.455,-0.075,0.55,-0.1849805,-0.175,-0.405
"1563",-0.005,-0.085,-0.055,-0.255,0.555,0.69,-0.2449805,-0.215,0.995
"1565",0.33,-0.14,0.1,-0.11,0.46,0.435,-0.3899805,-0.37,0.97
"1567",0.21,0.09,0.44,-0.32,0.43,0.415,-0.07998047,-0.22,0.57
"1568",0.105,0.095,0.455,-0.105,1.105,1.13,-0.6549805,-0.235,0.885
"1569",-0.215,-0.045,0.025,-0.005,0.365,0.66,0.1550195,-0.665,1.125
"1575",-0.545,-0.345,0.295,-0.795,-0.055,1.15,-0.1849805,0.185,0.155
"1583",3.455894e-18,0.09,0.72,-0.44,-0.2,0.605,-0.2799805,0.03,-0.3
"1585",0.6,-0.72,0.1,-0.62,-0.44,-0.365,0.1700195,-0.25,0.24
"1587",0.3649902,0.3649902,-0.1450098,-0.3950098,0.01499023,0.229990234,-0.004990234,0.2449902,0.1149902
"1588",0.635,-0.005,-0.115,-0.275,-0.015,0.09,-0.2149805,0.095,0.135
"1589",0.3850195,-0.06498051,-0.1549805,-0.4449805,-0.03498051,0.250019493,-0.05496098,0.1650195,0.4150195
"1594",0.255,-0.195,-0.115,-0.545,-0.285,0.47,-0.2949805,0.345,0.115
"1596",0.28,0.08,-0.18,0.15,-0.12,0.095,-0.2799805,0.14,0.21
"1600",-0.1100098,-0.4100098,-0.1200098,-0.4000098,-0.2400098,0.014990234,0.01000977,0.1199902,-0.01000977
"1603",0.1725,-0.2575,0.3025,-0.7075,0.1525,0.5175,-0.6174805,0.1525,0.0325
"1605",-0.105,-0.045,0.135,-0.495,-0.055,0.26,-0.5449805,-0.115,0.115
"1606",-0.015,0.025,-0.215,-0.345,-0.035,0.16,-0.7049805,-0.015,0.085
"1607",0.33,-0.51,0.34,-1.06,-0.11,0.495,-0.5199805,0.27,-0.5
"1610",-0.6799805,0.2300195,-0.02998051,-0.5199805,-0.1199805,0.665019493,0.440039,-0.1199805,-0.06998051
"1617",0.45,0.19,-0.31,-0.31,0.33,0.815,-0.1299805,-0.46,-0.28
"1619",0.04,0.1,-0.15,-0.34,0.11,0.195,-0.3999805,-0.02,-0.71
"1621",0.65,-0.06,-0.24,-0.8,-0.19,0.255,-0.6599805,0.37,0.59
"1622",0.6399902,0.02999023,-0.3100098,-0.8000098,-0.1900098,0.294990234,-0.5699902,0.6399902,0.3799902
"1628",0.59,0.27,-0.38,-0.43,0.42,0.335,1.04002,-0.17,-0.42
"1636",-0.2450098,-0.1250098,-0.5550098,0.02499023,0.07499023,-0.260009766,0.03500977,-0.05500977,0.7549902
"1640",-0.01999023,-0.6499902,-0.5099902,-0.4799902,0.6600098,0.165009766,-0.1699707,0.1900098,-0.3699902
"1641",-0.285,-0.685,-0.665,-0.495,0.405,0.46,-0.2349805,0.395,-0.425
"1642",-0.45,-0.05,0.14,-0.94,-0.32,0.345,-0.7599805,-0.37,0.55
"1646",-0.06998051,-0.5099805,-0.2899805,-0.8399805,-0.06998051,0.395019493,-0.149961,0.1800195,0.2800195
"1648",-2.445,0.405,-0.225,-0.245,-0.215,-0.62,0.1950195,-0.175,-0.655
"1649",-0.63,0.33,0.96,-1.81,-1.08,-0.145,0.7400195,-1.09,-0.83
"1652",0.23,-0.52,0.77,0.16,-1.3,-0.455,0.3200195,0.02,0.24
"1657",1.04499,0.2849902,-0.1250098,-0.3450098,-0.07500977,-0.560009766,-0.4349902,0.3449902,0.2849902
"1658",-0.1149805,-0.1949805,-0.4249805,0.1450195,0.01501949,0.220019493,-0.364961,0.4550195,0.04501949
"1660",-0.16,0.2,-0.31,-0.42,-0.16,0.015,-0.7599805,0.23,0.65
"1661",-0.3050098,-0.3550098,-0.8150098,-0.1950098,0.05499023,0.129990234,-0.6449902,0.2049902,0.5049902
"1662",-0.3999902,-0.3499902,-0.6399902,-0.9199902,-0.2699902,0.035009766,-0.6799707,0.1400098,0.2000098
"1663",0.48,-0.54,0.41,-0.76,0.33,0.775,-0.2199805,1.08,-0.34
"1670",-1.04501,-0.1250098,-0.8650098,-0.1550098,-0.2350098,0.179990234,-1.17499,0.3549902,1.20499
"1673",-1.28,-0.01,0.36,-0.29,-0.6,-0.135,-0.5699805,-0.46,1.96
"1674",-0.945,0.255,0.335,-0.415,-0.645,-0.22,-0.8349805,-0.635,1.545
"1677",-0.155,0.035,-0.135,-0.315,-0.085,-0.48,-0.6849805,-0.065,0.375
"1678",-0.005,0.295,0.065,-0.085,0.095,-1.04,-0.4449805,-0.075,0.315
"1679",-0.33,-0.13,0.16,-0.53,-0.31,-0.455,-0.8099805,-0.2,0.13
"1680",0.275,-0.625,0.255,-0.275,-0.575,-0.08,-0.1249805,0.015,0.095
"1681",0.135,-0.115,-0.575,0.135,-0.825,-0.11,-0.5549805,-0.025,0.345
"1685",-0.9975,0.3225,-0.5875,0.1625,-0.4475,-0.0025,0.3025195,-0.3575,-0.3575
"1691",0.49,-0.18,-0.67,-0.53,0.37,-0.265,-0.7899805,-0.68,0.49
"1693",0.155,-0.105,0.035,-0.475,0.125,-0.14,-0.2549805,-0.545,-0.525
"1697",-0.015,0.375,-1.185,0.015,-0.885,-0.6,0.5750195,-0.355,0.025
"1698",-0.1549805,0.1850195,-1.064981,0.2650195,-0.2049805,-0.179980507,0.335039,-0.4049805,0.3150195
"1699",-0.22,-0.34,-0.62,0.22,-0.14,-0.195,-0.09998047,-0.17,0.05
"1702",-0.7699805,0.3400195,-0.2099805,1.410019,-0.4099805,-0.534980507,0.780039,-0.5099805,0.6400195
"1703",-0.66,-0.14,0.35,1.07,-0.04,0.055,-1.24998,-0.6,0.23
"1704",-0.575,-0.435,-0.235,-0.375,-0.505,-0.77,0.3550195,-0.415,0.185
"1710",-0.44,-0.36,-1.2,-0.44,-0.48,0.355,0.06001953,-0.35,0.5
"1719",0.2549902,-0.1250098,-0.3850098,0.2549902,0.4449902,0.019990234,-0.01499023,0.4349902,-0.07500977
"1723",0.17,-0.17,-0.78,-0.37,-0.29,-0.165,-0.06998047,0.13,0.07
"1728",0.255,-0.415,-0.275,-1.035,-0.615,-0.46,-0.2549805,0.445,-0.165
"1729",0.255,0.425,-0.905,0.735,-0.065,0.03,-0.05498047,0.725,-0.025
"1731",-0.2050098,0.3549902,-0.7550098,-0.4250098,0.1249902,-0.110009766,-0.04499023,-0.4550098,0.6649902
"1734",0.51,0.1,0.15,-0.46,-0.4,-0.405,0.8400195,0.26,-0.49
"1735",-0.3,-0.07,0.05,0.09,-0.27,0.105,-0.1199805,0.15,-1.734723e-18
"1739",0.405,-0.035,-1.155,-0.475,-0.275,-0.32,-0.03498047,0.405,-0.335
"1741",-0.005,-0.035,-0.115,-0.045,0.145,0.17,0.8250195,0.105,-0.415
"1742",-0.08000977,-0.1000098,-0.4600098,0.2999902,0.2299902,0.044990234,0.2200098,0.2199902,-0.2100098
"1745",-0.015,0.285,-0.205,-0.755,-0.165,0.42,-0.2349805,0.665,-0.825
"1747",-0.57,-0.15,-1.24,0.01,-0.08,-0.055,-0.4499805,-0.28,-0.23
"1748",0.41,0.35,0.21,-0.28,-0.41,-0.705,0.6100195,-0.5,-0.92
"1753",-0.01,-0.65,-0.73,-0.08,-0.24,-0.415,0.01001953,-0.66,-0.99
"1756",-0.08500977,0.2149902,0.4749902,0.1849902,-0.3150098,-0.140009766,-0.1449902,-0.5950098,-0.3750098
"1759",-0.21,8.673617e-19,0.33,-4.336809e-18,-0.19,-0.455,0.08001953,0.31,-0.47
"1760",-0.31,-1.31,0.37,-0.2,-0.63,-0.375,-0.2199805,0.36,0.36
"1765",-0.045,-0.595,-0.275,-0.125,-0.075,-0.39,0.1750195,0.255,0.135
"1767",0.0375,-0.9425,-0.4925,-0.5025,-0.1625,-0.0075,0.1575195,0.1275,0.2975
"1768",0.3700098,-0.1999902,-0.1499902,-0.1699902,-0.1599902,-0.264990234,-0.3399707,0.5000098,0.2000098
"1770",0.005,-0.565,0.195,-0.825,-0.405,-0.26,0.2150195,0.015,-0.115
"1775",-0.195,-0.835,-0.255,-0.525,-0.085,0.38,-0.1949805,0.425,-0.425
"1777",0.125,-0.225,-0.315,-0.505,0.145,0.21,-0.07498047,-0.185,0.725
"1781",-0.01,0.66,-0.25,-0.11,0.17,0.035,-0.3099805,0.31,0.36
"1782",0.005,0.235,0.555,-0.205,-0.135,0.24,0.1050195,0.005,-0.065
"1785",-0.045,0.225,-0.115,-0.275,0.205,0.11,-0.1249805,-0.025,0.635
"1786",0.1,0.35,-0.07,-0.29,-0.01,0.085,0.04001953,-0.14,0.08
"1788",0.18,-0.56,-0.35,-0.25,-0.45,-0.765,-0.2599805,0.25,0.77
"1789",-0.2099805,-0.4699805,0.1300195,-0.3399805,-0.5699805,-0.334980507,-0.359961,0.9000195,0.6600195
"1790",0.65,-0.92,-1.28,-1.05,-0.03,-0.285,-0.04998047,-0.07,0.16
"1794",0.115,-0.725,0.495,-0.815,-0.085,-0.15,-1.43498,0.315,0.415
"1797",0.065,-0.125,-0.995,-0.725,0.155,0.04,0.5850195,-0.095,0.135
"1804",-0.04,0.01,-0.37,0.41,0.64,0.795,0.5900195,0.26,0.34
"1808",0.1750098,-0.6849902,-1.09499,0.4250098,0.6450098,0.690009766,0.5250293,0.6650098,0.01500977
"1810",0.0775,-0.0925,-1.3125,0.3475,0.1775,0.0125,0.7975195,0.0175,1.0675
"1812",-0.14,-0.11,0.08,0.25,-6.925341e-18,0.285,0.2800195,0.67,-0.15
"1815",-0.26,-0.72,-0.67,-0.44,-0.01,0.255,0.4900195,0.98,-0.28
"1820",0.39,-0.96,0.47,-0.47,0.22,0.395,0.08001953,0.1,0.13
"1824",0.4199902,-1.03001,-0.1700098,-0.6200098,0.2899902,0.764990234,0.02000977,0.1399902,0.3499902
"1827",-0.2349805,0.09501949,-0.7949805,-0.06498051,0.2250195,0.460019493,0.165039,-0.04498051,0.2450195
"1829",-0.275,-0.505,-0.285,-0.185,-0.045,0.8,0.2650195,0.175,0.405
"1832",0.01,0.32,-1.06,-0.26,-0.34,-0.225,0.8400195,0.11,-0.4
"1837",0.025,0.805,-0.485,-0.365,0.135,-0.09,1.75502,-0.145,-1.205
"1838",0.21,0.25,-1.33,-0.01,0.08,0.715,0.3900195,0.48,-0.43
"1842",-0.27,1.11,-1.85,0.58,0.56,0.915,0.5900195,1.06,0.98
"1845",-0.1600098,0.1699902,-0.3400098,-0.4900098,0.3899902,0.464990234,-0.009990234,-0.6200098,-0.05000977
"1847",-0.78,-0.07,-0.43,-0.02,0.12,0.625,0.02001953,-0.49,-0.12
"1848",-0.23,0.37,-0.54,-0.48,-0.21,0.855,0.3700195,-0.3,-0.17
"1850",-0.3450098,0.1849902,0.07499023,-0.4950098,0.4449902,0.709990234,-0.01499023,-0.02500977,-0.2550098
"1852",0.23,-0.06,-0.21,-0.34,0.24,0.475,-0.1799805,3.469407e-18,-3.469407e-18
"1855",-0.125,-0.525,-0.775,-0.595,0.245,-0.21,0.04501953,0.605,-0.025
"1856",-0.495,-0.035,-0.615,-0.915,-0.115,0.15,-0.3349805,-0.005,-0.265
"1863",0.2650195,0.3050195,-0.2249805,-0.4949805,0.1650195,0.230019493,-0.304961,0.1550195,0.3050195
"1869",0.24,-0.45,-0.9,-0.6,0.11,0.395,-0.5399805,-0.27,0.1
"1874",0.125,0.165,-0.985,0.115,-0.145,-0.34,0.4250195,0.555,-0.165
"1875",-0.015,-0.285,-0.175,-0.115,0.065,0.33,0.5550195,0.815,-0.395
"1876",0.01500977,-0.08499023,-1.57499,0.005009766,0.8950098,0.080009766,0.5550293,0.7950098,1.04501
"1878",0.1950195,-0.1649805,-1.084981,0.2350195,0.1250195,0.040019493,0.385039,1.095019,-0.1549805
"1881",0.36,-0.04,-0.05,-0.34,0.35,-0.095,-0.08998047,0.27,0.45
"1884",0.11,-0.16,-0.56,-0.16,0.39,0.295,-0.1099805,0.01,0.04
"1885",0.13,0.25,-0.54,0.14,0.76,0.105,-0.2999805,0.32,0.35
"1890",-0.015,-0.095,-0.265,-0.255,-0.025,0.04,-0.1249805,0.245,0.075
"1893",0.12,0.36,-0.28,-0.47,0.06,-0.445,-0.01998047,5.204091e-18,0.05
"1894",0.03,0.04,-0.78,-0.93,-0.4,0.025,-0.2599805,-0.17,0.65
"1895",-0.0825,-0.2225,-0.8425,-0.5825,0.0375,0.2225,0.1375195,0.0475,0.5175
"1896",0.24,0.01,-0.71,-0.39,0.08,0.205,-0.07998047,0.01,0.38
"1899",0.0375,0.2575,-0.5325,-0.4725,0.0375,0.0125,0.1675195,0.0375,0.1575
"1903",-0.005,0.105,-0.985,-0.165,0.325,0.15,0.1750195,0.005,-0.535
"1904",-0.03,0.08,-0.73,0.24,0.11,-0.225,0.1800195,-0.25,-0.26
"1905",-1.355253e-20,-0.3,-0.81,-0.57,-0.05,-0.125,1.28002,0.42,-0.08
"1912",0.3300098,0.3400098,-0.8899902,-0.4499902,-0.06999023,-0.114990234,0.5900293,0.8800098,-0.4199902
"1913",0.655,0.205,-0.635,-0.915,-0.365,-0.51,0.1950195,0.355,-0.515
"1916",0.025,0.205,0.005,-0.085,-0.145,0.07,-0.07498047,0.175,0.245
"1918",-0.36,0.01,0.05,-0.84,-0.14,0.335,0.01001953,0.43,-0.01
"1920",-0.2350098,0.03499023,-1.06501,-0.5750098,-0.05500977,0.149990234,-0.03499023,-0.2850098,-0.1250098
"1922",-0.2,0.24,-0.02,-0.26,-0.15,0.135,-0.2899805,-0.45,-0.17
"1923",0.825,-0.025,0.185,-0.075,0.415,-0.09,-0.4149805,0.315,0.945
"1926",0.335,-0.075,-0.695,-0.015,0.095,0.34,-0.6449805,0.705,-0.075
"1928",-0.025,-0.565,-0.195,-0.125,-0.075,0.02,-0.9049805,0.145,1.235
"1934",-0.2199902,-0.01999023,-0.3899902,-0.08999023,0.5700098,0.245009766,0.2000293,0.4500098,0.8800098
"1935",0.2350195,-0.3149805,-0.3249805,-0.2249805,0.2350195,0.290019493,-0.474961,0.2450195,0.1650195
"1939",-0.185,0.025,-0.635,-0.555,0.225,0.04,-0.3549805,-0.185,-0.045
"1941",-0.015,-0.065,-0.155,-0.445,-0.125,-0.19,0.2550195,0.195,-0.495
