"","V1","V2","V3","V6","V7"
"1697",-2.535,-0.09503899,-0.275,-0.655,-0.275
"1698",-0.6549805,-0.01501949,-0.1749805,-0.8249805,-0.2549805
"1699",-0.27,0.05996101,-0.47,-0.2,0.08
"1702",-0.3199805,0.1199805,-0.05998051,-0.4999805,0.5100195
"1703",-0.16,-0.430039,-0.54,-1.03,-0.39
"1704",-0.555,-0.375039,0.215,-0.745,-0.105
"1710",-0.26,0.09996101,0.08,-0.35,-0.25
"1719",-0.1050098,-0.5050488,0.01499023,-0.4050098,-0.3650098
"1723",-0.51,-0.220039,-0.07,-0.41,-0.49
"1728",0.115,-0.285039,-0.275,-0.045,0.205
"1729",-0.555,-0.02503899,-0.825,-0.805,-0.365
"1731",0.03499023,-0.005048752,-0.2950098,0.1349902,0.6849902
"1734",-0.73,-0.930039,0.08,-0.2,-0.6
"1735",0.03,-0.240039,-0.05,0.17,0.36
"1739",-0.475,-0.595039,-0.715,-0.345,-0.875
"1741",-0.165,1.414961,0.465,-1.305,-1.095
"1742",-0.2200098,0.7899512,0.3999902,-1.10001,-0.8900098
"1745",-0.585,0.574961,0.195,-0.965,-1.655
"1747",0.45,-0.450039,-1.2,-0.25,-0.48
"1748",-0.36,-0.200039,0.2,0.38,0.32
"1753",-0.47,-0.570039,-0.33,-0.38,-0.82
"1756",0.1949902,-0.2350488,0.03499023,0.8949902,-0.08500977
"1759",0.37,-0.330039,0.02,-0.29,-0.41
"1760",-0.04,-0.290039,6.938894e-18,-0.26,0.08
"1765",0.175,-0.425039,-0.125,0.085,-0.655
"1767",-0.1425,-0.232539,-0.3325,0.6975,0.7675
"1768",-0.3499902,-0.3800292,-0.1299902,0.1100098,-0.3799902
"1770",-0.525,-0.575039,-0.095,-0.085,-0.465
"1775",-0.575,-0.295039,0.135,0.015,-0.665
"1777",0.465,-0.805039,0.115,-0.005,0.075
"1781",-0.15,-0.390039,-0.06,-0.23,-0.02
"1782",-0.295,-0.755039,-0.235,0.165,-0.235
"1785",-0.295,-0.285039,0.145,0.005,-0.205
"1786",-0.15,-0.200039,-0.07,0.4,-0.03
"1788",-0.11,-0.830039,-0.33,-0.23,-0.49
"1789",0.2900195,-1.010019,-0.2999805,-0.6799805,-0.5299805
"1790",-0.91,-0.520039,-0.73,-0.32,0.26
"1794",0.005,-0.03503899,-0.195,0.035,0.425
"1797",-0.085,-0.09503899,-0.375,-0.125,-0.115
"1804",-0.22,-0.07003899,-0.14,-0.15,-0.34
"1808",-0.2149902,-0.7150292,-0.3349902,-0.3249902,-0.02499023
"1810",0.1675,-0.602539,-0.2225,0.0775,-0.7425
"1812",-0.2,0.319961,-0.44,0.06,-0.13
"1815",-0.53,-0.340039,-0.28,-0.35,-1.18
"1820",0.04,-0.700039,-0.72,0.66,-0.46
"1824",0.1999902,-0.9300488,-0.4600098,-0.5500098,-0.8500098
"1827",-0.3249805,-0.06501949,-0.2849805,-0.5249805,-0.8849805
"1829",-0.125,-0.02503899,0.095,-1.385,-0.625
"1832",-0.03,-0.440039,-0.21,-0.01,-0.7
"1837",-0.685,0.07496101,-0.025,-0.705,-0.535
"1838",0.71,-0.170039,-0.41,-0.17,-0.59
"1842",-0.47,0.139961,-0.35,-0.68,-0.7
"1845",-0.5000098,-0.3500488,-0.1900098,0.3299902,-0.1300098
"1847",-0.52,-0.700039,-0.43,-1.08,-0.53
"1848",-0.44,-1.670039,-0.89,-0.55,-1.38
"1850",-0.07500977,-1.175049,-0.5050098,-0.6750098,-0.5650098
"1852",-0.18,-0.260039,-0.46,-0.12,-0.28
"1855",-0.445,-0.245039,-1.045,0.065,0.215
"1856",-0.485,-0.235039,0.135,-0.815,-0.565
"1863",-0.2949805,-0.08501949,-0.1149805,-0.004980507,-0.6749805
"1869",0.08,0.209961,-0.61,-0.65,0.06
"1874",0.045,-0.09503899,0.385,-0.455,-0.745
"1875",-0.615,-0.02503899,-0.205,-0.145,-0.685
"1876",-0.2849902,0.06497078,-0.06499023,-0.6249902,-0.7049902
"1878",-0.3249805,0.02498051,-0.2149805,-0.9249805,-1.404981
"1881",-0.05,-0.100039,0.17,-0.91,-1.69
"1884",0.31,0.439961,-0.63,0.33,-0.78
"1885",0.09,0.609961,-0.51,0.47,-0.24
"1890",0.015,-0.315039,-0.255,0.195,-0.095
"1893",-0.16,0.149961,-0.33,0.16,0.48
"1894",0.27,1.259961,-0.01,-0.64,-0.56
"1895",0.2375,0.09746101,-0.2725,-0.2425,-0.0125
"1896",-0.06,-0.02003899,-0.19,0.13,-0.09
"1899",-0.4425,-0.272539,-0.4025,-0.0125,0.2675
"1903",0.005,1.364961,-0.305,-0.815,-0.465
"1904",-0.48,0.999961,-0.41,-0.29,-0.34
"1905",0.17,0.01996101,-0.41,-0.46,-0.54
"1912",-0.07999023,0.9899708,-0.06999023,0.6300098,-0.3399902
"1913",0.375,0.984961,-0.085,0.065,0.195
"1916",-0.275,-0.195039,-0.485,0.355,-0.165
"1918",-0.32,-0.05003899,-0.31,0.12,-0.21
"1920",-0.3950098,-0.1050488,-0.2650098,0.3049902,0.09499023
"1922",-0.29,-0.330039,-0.3,0.14,-0.3
"1923",-0.315,-0.205039,-0.795,-0.205,-0.595
"1926",-0.705,-1.035039,-1.325,-1.155,-1.775
"1928",-0.985,-0.355039,-0.875,-0.685,-0.205
"1934",-0.06999023,0.4699708,-0.1099902,-0.4499902,0.3900098
"1935",-0.1749805,-0.01501949,-0.7349805,-0.1649805,0.5450195
"1939",-0.405,-0.135039,-0.475,-0.235,-0.225
"1941",0.055,-0.285039,0.375,0.345,-0.075
"1943",-0.2500098,-0.4600488,-0.1900098,0.1299902,-0.1700098
"1944",-0.1450098,-0.2150488,-0.5150098,0.1949902,-0.1750098
"1949",-0.1425,-0.02253899,-0.5725,-0.0225,-0.2125
"1950",-0.095,-0.105039,-0.625,0.055,0.085
"1951",-0.1249805,-0.2550195,-0.3449805,-0.2949805,-0.3549805
"1956",-0.105,0.09496101,-0.045,-0.215,-0.675
"1957",0.1449902,0.2049512,0.5949902,0.6349902,-0.4150098
"1963",-0.1749902,-0.02502922,-0.2649902,0.3850098,-0.02499023
"1964",0.07,-0.420039,-0.68,0.75,0.02
"1966",0.2,-0.380039,-0.45,-0.68,-0.04
"1967",-0.34,-0.800039,-0.67,0.08,-0.4
"1970",-0.365,-0.415039,-0.375,-0.865,-0.375
"1971",-0.55,-0.320039,-0.54,-1.25,-0.12
"1972",-0.46,-0.810039,-1.21,-1.01,-0.63
"1978",0.235,-0.02503899,0.075,-0.005,-0.605
"1983",-0.09500977,0.1649512,0.3949902,-0.7350098,-0.6450098
"1987",-0.02,0.589961,-0.26,-0.43,-1.08
"1988",-1.38,0.209961,0.26,-0.6,-0.86
"1989",-0.4799805,-0.4200195,-0.8299805,-1.209981,-0.7699805
"1990",-0.605,-0.335039,-0.275,-0.655,-0.585
"1992",-0.465,-0.505039,-0.005,0.445,-0.105
"1993",0.04500977,-0.2650292,-0.1849902,0.5250098,-0.04499023
"1994",-0.23,-0.660039,0.13,0.27,0.07
"1995",-0.0875,-0.307539,-0.0075,0.7225,-0.4375
"1998",-0.22,0.339961,-0.14,0.05,0.01
"2007",-0.3,0.519961,-1.31,0.32,0.1
"2010",0.01,0.469961,0.01,0.31,0.01
"2012",0.115,0.324961,0.055,-0.075,-0.005
"2015",0.025,0.754961,-0.385,-0.605,0.565
"2017",0.44,0.149961,-0.03,0.09,0.25
"2020",0.3749902,0.4049512,0.1049902,-0.03500977,-1.20501
"2023",-0.495,-0.105039,-0.785,-0.445,-0.235
"2026",-0.4649805,-0.4250195,-0.6949805,-0.5349805,-1.104981
"2033",-0.75,-0.120039,-0.81,-0.6,-0.92
"2034",-0.9049805,-0.5650195,-0.7749805,0.06501949,-0.9149805
"2044",-0.045,0.104961,0.265,-0.405,-0.405
"2046",-0.3149902,0.05497078,-0.2849902,-0.4549902,-0.8749902
"2047",-0.115,-0.805039,0.135,-0.745,-0.745
"2051",0.095,-0.455039,-0.355,-0.555,0.235
"2052",-0.06,-0.04003899,0.45,0.09,-1.18
"2054",-0.46,-0.06003899,0.52,-0.4,0.09
"2058",-0.2650195,0.1849415,-0.6350195,0.4549805,0.7449805
"2061",-0.285,-0.225039,0.485,0.115,-0.545
"2062",-0.39,-0.190039,0.02,0.21,-0.4
"2063",-0.1875,-0.507539,0.1725,0.0225,0.0125
"2067",-1.055,-0.955039,-0.665,0.295,-0.425
"2069",0.91,1.459961,0.44,0.92,0.4
"2088",-0.31,-0.500039,0.01,0.26,-0.05
"2089",-0.12,-0.560039,0.19,-0.2,0.17
"2093",0.05500977,0.1749708,-0.3449902,-0.1049902,0.4950098
"2094",0.02499023,0.6549512,-0.2150098,0.3549902,0.6349902
"2096",0.135,-0.03503899,-0.135,0.095,0.055
"2099",0.1,0.379961,-1.39,-1,0.18
"2101",-0.3450098,0.5449512,-0.1550098,-0.7050098,0.2249902
"2107",1.53,0.859961,-0.07,0.17,0.23
"2109",0.11,-0.310039,0.66,0.47,-0.5
"2122",-0.195,-0.335039,-0.445,0.305,0.655
"2123",0.1749902,-0.3150488,-0.3150098,0.3649902,0.09499023
"2124",0.325,-0.525039,-0.365,0.225,-0.915
"2127",0.435,-0.295039,-0.395,-0.065,0.245
"2128",0.6000195,-1.94931e-05,-0.3399805,0.3800195,0.5200195
"2131",0.27,0.139961,-0.32,0.65,0.66
"2134",0.4450098,0.1049708,-0.3349902,0.8350098,0.6850098
"2138",0.66,-0.130039,-0.49,0.97,0.46
"2143",0.1449902,-0.2950488,-0.3850098,0.09499023,0.07499023
"2145",0.1549902,-0.6450488,-0.7150098,0.3249902,-0.1550098
"2157",0.66,0.269961,0.16,0.41,0.32
"2162",0.1300098,0.2399708,-0.04999023,-0.4699902,0.7500098
"2163",-0.64,0.179961,-0.4,-0.75,1.08
"2164",-0.2300098,0.3599512,-0.04000977,-0.7600098,-0.5300098
"2170",-0.6199902,0.4199708,-0.6799902,-0.5199902,-0.5599902
"2171",0.1250098,0.1949708,-0.1649902,0.5150098,-0.1849902
"2178",-0.055,0.214961,0.225,-0.275,0.185
"2180",-0.3,-0.340039,0.57,-0.06,0.44
"2184",-1.16,-1.480039,-1.15,-0.45,-0.95
"2186",-0.015,-0.185039,-0.145,-0.815,-0.605
"2187",-0.7525,-0.862539,-0.9825,-1.5925,-1.0925
"2188",-0.0125,-0.642539,-0.2425,-0.4225,0.0775
"2190",-0.6850098,-0.2450488,-0.2150098,-0.6850098,-0.3550098
"2195",0.3600098,0.009970779,-0.3299902,-0.8299902,-1.77999
"2200",-0.005,0.194961,-0.705,0.625,-0.895
"2201",-0.22,-0.110039,-0.88,0.59,-0.78
"2203",-0.24,-0.110039,-0.11,0.8,-1.24
"2208",-0.05000977,-0.1300488,-0.05000977,0.2999902,-0.8200098
"2210",-0.01,0.279961,-0.35,-0.22,-0.94
"2211",0.1899902,-0.4500488,-0.4100098,0.7699902,-0.8200098
"2217",0.01999023,0.1699512,-0.3600098,-0.6000098,0.2499902
"2219",-0.21,0.299961,-0.3,0.14,0.04
"2221",-0.425,-1.025039,-0.925,-0.095,-0.155
"2222",-0.205,-1.255039,-0.985,0.045,-0.475
"2225",0.065,0.214961,-0.395,0.145,-0.125
"2228",-0.34,-1.040039,-0.37,-0.03,-0.43
"2229",-0.185,-0.785039,0.125,-0.385,-0.035
"2237",-0.2999805,-0.3800195,-0.6899805,-0.8799805,-0.5399805
"2241",-0.1800098,-0.7000488,-0.6200098,-0.1900098,-0.9300098
"2242",-0.035,-1.075039,-0.565,0.245,-0.505
"2243",0.675,-0.125039,0.115,-0.615,-0.695
"2247",0.3200195,0.009980507,-0.5599805,0.2400195,-0.3499805
"2249",0.3099902,0.2299512,-0.4000098,-0.6900098,-1.18001
"2250",0.08,0.06996101,-0.27,0.1,-0.15
"2252",0.765,-0.03503899,-0.705,-1.335,-1.475
"2254",0.245,-0.275039,-0.075,0.445,0.125
"2259",0.11,0.269961,-0.17,-0.56,0.06
"2260",-0.04498051,0.2749805,-0.3649805,-0.5049805,0.3250195
"2263",0.75,-0.06003899,-0.09,-0.21,-0.36
"2265",0.765,-0.215039,-0.455,0.265,0.355
"2267",-0.2250098,0.03495125,-0.1850098,-0.09500977,-0.3850098
"2272",-0.7125,0.177461,-0.7325,-0.2925,0.3175
"2276",-0.555,-0.305039,-0.805,0.165,0.045
"2277",-0.3049805,0.004980507,-0.5749805,-0.6649805,0.4950195
"2278",-0.6799805,-0.1500195,-0.6299805,-0.1099805,0.5400195
"2282",-0.455,-0.385039,-0.415,-0.925,-0.615
"2283",-0.41,-0.350039,-0.45,-0.84,-0.84
"2287",0.405,0.144961,-0.245,-1.435,-0.425
"2290",0.025,-0.645039,-0.915,-0.155,-0.805
"2294",-0.43,-0.450039,-0.15,-1.18,-0.12
"2295",-0.7325,-1.042539,-0.5425,-0.1225,-1.1125
"2298",0.43,-0.310039,-0.48,-0.11,-0.16
"2300",-0.06,-0.120039,-0.29,0.55,-0.07
"2302",0.1199902,0.06995125,-0.4200098,0.07999023,-0.07000977
"2303",0.185,-0.205039,-1.195,-0.895,-0.165
"2323",0.1100098,-0.4400292,0.5300098,0.4400098,-0.9299902
"2324",-0.245,-0.595039,0.105,0.165,-0.755
"2326",0.02499023,-0.5850488,-0.5650098,0.4149902,-0.8350098
"2327",0.225,-0.275039,-0.525,-0.425,-0.155
"2328",0.215,0.594961,0.085,-0.365,-0.475
"2330",-0.375,-0.875039,-0.365,-0.465,-0.985
"2332",0.34,0.139961,-0.08,-0.32,-0.18
"2336",0.385,-0.395039,-0.115,-0.355,-1.905
"2339",0.465,-0.635039,-0.275,0.835,-0.015
"2347",-0.1299902,-1.370029,0.02000977,-0.1199902,-0.8799902
"2356",0.35,0.619961,-1.09,-1.56,-0.14
"2357",0.07,0.639961,-0.94,-1.66,-0.35
"2360",-0.245,-0.265039,0.635,0.745,-0.165
"2364",-0.165,-0.115039,0.365,-0.255,-0.235
"2365",-0.365,-0.345039,0.535,-0.365,-0.575
"2369",0.025,-0.675039,-0.335,0.485,-1.165
"2370",-0.03,-0.850039,-0.05,-0.06,-1.41
"2371",-0.27,-0.470039,-0.13,-0.18,-0.7
"2380",0.4649902,-0.4950488,-0.2750098,-0.3550098,-1.00501
"2381",0.5450098,-0.3250292,0.4150098,-0.4749902,-0.5949902
"2385",0.6449902,-0.3850488,-0.1950098,-0.5050098,-1.19501
"2393",0.3050195,0.004980507,-0.1649805,-0.2849805,-1.104981
"2394",-0.3049902,0.05497078,-0.1549902,-0.2449902,0.06500977
"2395",0.4525,-0.07753899,-0.4375,-0.4375,-0.2475
"2404",-0.06,0.249961,0.43,-0.49,-0.59
"2405",-0.15,-1.120039,0.58,-1.46,-1.4
"2406",-0.285,-0.735039,0.815,-1.215,-2.355
"2407",0.6900098,-0.5300292,1.26001,-0.3899902,-1.41999
"2408",-0.03,0.269961,0.02,-0.09,-0.39
"2410",-0.39,-0.07003899,0.66,0.29,-0.34
"2413",-0.115,0.164961,0.315,-0.365,-0.705
"2416",-0.22,0.369961,0.6,-0.03,-0.05
"2417",-0.315,0.104961,0.245,0.365,-0.005
"2418",-0.185,0.134961,0.135,0.005,0.225
"2420",-0.21,0.299961,0.53,-0.45,0.26
"2421",-0.01500977,0.2049512,0.4749902,0.2049902,-0.6750098
"2424",-0.21,0.209961,0.79,-0.68,0.07
"2432",-0.495,0.03496101,0.475,-0.215,-0.465
"2433",0.34,-0.380039,0.64,-0.27,-1.02
"2443",-0.39,0.129961,-0.35,0.14,0.42
"2448",-0.34,-0.110039,0.4,0.27,-0.08
"2451",0.135,0.734961,0.525,0.095,0.725
"2453",0.305,0.324961,0.395,0.055,0.045
"2459",0.11,0.129961,0.3,-0.05,0.82
"2462",-0.555,0.154961,0.815,-0.385,-1.325
"2463",-0.15,-0.05003899,0.29,-0.43,-0.63
"2464",0.195,0.07496101,0.535,-0.545,-0.535
"2467",0.2549902,1.284951,0.3749902,0.5749902,0.3149902
"2469",0.25,0.149961,0.18,-0.51,0.19
"2476",-0.3299805,0.01998051,0.05001949,-0.2199805,0.7300195
"2485",0.1000098,0.6099708,-0.2899902,0.4700098,0.5600098
"2490",-0.04000977,0.3199512,-0.4300098,0.1899902,0.5199902
"2492",-0.105,0.194961,-0.275,-0.215,-0.005
"2496",-0.185,0.334961,-0.075,0.105,-0.875
"2503",0.715,1.084961,-0.525,0.785,1.745
"2505",0.195,0.314961,-0.285,0.275,0.355
"2519",-0.2,0.109961,0.02,0.73,-0.7
"2521",0.195,0.424961,0.385,0.895,0.155
"2525",0.3075,0.617461,0.3775,1.0675,0.4075
"2528",-0.5999902,0.2499708,-0.3499902,0.8400098,-0.2599902
"2529",-0.305,0.554961,-0.535,0.055,0.375
"2530",-0.465,0.344961,-0.975,-0.035,-0.295
"2531",-0.24,-0.06003899,-0.04,-0.15,-0.46
"2532",-0.04,-0.07003899,-0.02,-0.67,2.94
"2533",0.1574902,0.3874512,-0.3425098,0.8874902,0.5974902
"2534",-0.3150098,0.4349512,-0.2350098,-0.4050098,0.1449902
"2535",-0.2750098,0.1249512,-0.07500977,-0.3050098,0.01499023
"2539",-0.02000977,-0.07004875,-0.02000977,0.4499902,-0.6100098
"2540",0.03,0.09996101,-0.29,0.34,-0.03
"2546",0.195,0.374961,0.305,0.305,0.425
"2547",-0.1850098,0.2449512,0.2249902,0.4949902,0.9649902
"2554",-0.04500977,0.2949512,-0.06500977,-0.4750098,0.3549902
"2558",0.135,0.334961,0.065,0.745,0.215
"2564",1.165,-0.845039,-0.115,0.375,-1.335
"2569",0.105,-0.595039,-0.415,0.915,-0.025
"2570",-0.1675,-0.487539,-0.8175,0.2425,-0.8975
"2572",-0.31,-0.340039,0.27,-0.56,-0.13
"2586",0.08501949,-0.005019493,0.5050195,-0.4349805,-1.304981
"2588",-0.005,0.06496101,-0.265,-1.005,-1.015
"2590",-0.14,0.03996101,0.04,-1.32,-0.82
"2591",-0.1700098,0.4499512,0.3199902,-0.5800098,-0.7400098
"2592",-0.385,-0.275039,0.285,-0.485,-0.875
"2594",0.37,0.559961,1.22,0.44,0.42
"2596",0.335,0.324961,-0.045,0.485,0.465
"2597",0.425,-0.04503899,0.575,1.065,0.475
"2598",0.075,-0.05503899,-0.215,0.035,0.155
"2608",-0.535,-0.765039,-0.275,-0.285,-0.275
"2610",-0.745,0.01496101,-0.335,0.165,-0.225
"2612",-0.155,-0.435039,-0.065,0.465,-0.945
"2613",-0.205,-0.575039,-0.035,0.335,-0.155
"2618",-0.3149902,-0.5450292,-0.3849902,0.2950098,-0.7149902
"2619",-0.3499805,-0.1200195,0.4000195,0.7000195,-0.4699805
"2622",-0.31,0.289961,0.14,-0.76,0.74
"2627",0.55,0.129961,0.65,-0.17,-1.17
"2629",0.13,-0.04003899,-1.04,0.27,0.65
"2630",0.4100195,0.009980507,-0.3699805,-1.239981,0.8800195
"2633",-1.14,-0.250039,-0.47,-0.67,0.31
"2636",-0.2999805,0.03998051,0.1900195,-0.1999805,0.3300195
"2637",-0.4075,0.562461,-0.4275,-0.1275,0.4825
"2638",0.0125,0.802461,0.3025,0.6225,0.5525
"2640",-0.735,0.174961,-0.245,0.075,0.275
"2643",0.1200098,0.7899708,0.3400098,0.3700098,0.7600098
"2644",-0.09999023,-0.09002922,-0.2299902,0.4700098,0.5700098
"2645",0.195,-0.08503899,-0.435,-0.345,0.525
"2648",-0.2350098,-0.06504875,0.04499023,0.4149902,0.07499023
"2649",0.11,0.759961,-0.16,0.39,0.99
"2650",-0.21,0.659961,-0.15,-0.54,1.14
"2651",-0.33,0.419961,0.28,0.36,0.68
"2653",0.15,0.749961,-0.44,0.88,0.53
"2657",0.345,0.224961,-0.545,-0.035,-0.185
"2659",0.09,0.769961,-0.14,0.06,-0.01
"2664",-0.05000977,0.1999512,-0.5600098,-0.1000098,0.3099902
"2666",0.01502926,-0.5050097,-0.1349707,-0.3849707,0.005029259
"2669",0.1050098,-0.06502922,0.2750098,-1.26499,-0.1049902
"2670",-0.17,-0.480039,0.28,-1.25,-0.97
"2673",-0.155,0.274961,-0.205,-0.805,0.195
"2674",-0.485,0.154961,0.125,-0.935,0.535
"2675",-0.2749805,-1.025019,-0.7849805,-0.9849805,-0.6849805
"2678",0.15,-0.420039,0.3,0.48,0.61
"2680",-0.04,0.139961,0.04,0.57,0.72
"2683",0.1249902,-0.8450488,-0.7650098,-0.1350098,0.7149902
"2684",-0.335,0.294961,-0.715,-0.635,0.865
"2688",-0.085,0.204961,0.105,-0.725,0.075
"2689",0.09001949,-1.94931e-05,0.1300195,-1.139981,0.1100195
"2690",0.485,0.104961,0.055,-0.155,0.735
"2691",0.2900098,-0.1000292,-0.6999902,-0.6899902,0.06000977
"2694",0.1775,0.617461,-0.3325,-0.0225,0.8575
"2699",-0.175,-0.115039,0.525,0.805,-0.255
"2702",0.2400098,-0.2000292,0.3700098,-0.5699902,-0.8099902
"2704",-0.05499023,-0.1250292,0.5050098,-0.07499023,-1.01499
"2707",-0.42,-0.620039,0.57,-0.07,-0.2
"2710",0.0025,0.03246101,0.4025,-0.2775,-0.6575
"2714",-0.61,-0.07003899,0.01,-0.41,-1.86
"2721",-0.02,-0.180039,-0.22,-0.05,0.36
"2732",-0.4599902,0.1499708,-0.3299902,0.8400098,0.7800098
"2733",-0.4599805,-0.01001949,-0.4499805,0.7200195,0.5800195
"2734",1.01,0.819961,-0.05,-0.47,1.99
"2736",0.62,0.309961,-0.12,0.09,0.64
"2739",0.49,0.07996101,-0.3,-0.22,0.77
"2741",0.17,0.479961,0.12,0.6,0.71
"2743",0.23,0.199961,-0.13,0.5,1.12
"2749",-0.6225,-0.542539,1.6775,0.6875,-0.8425
"2753",-0.025,-0.455039,0.145,-0.535,-0.185
"2755",0.035,-0.695039,-0.165,-0.505,-0.065
"2764",0.435,0.264961,0.235,0.285,1.035
"2765",0.825,0.384961,-0.235,0.035,0.605
"2766",0.17,-0.250039,0.15,0.83,0.59
"2768",-0.22,0.409961,-0.37,-0.35,-0.07
"2770",-0.31,-0.02003899,-0.81,-0.16,0.49
"2772",-0.29,0.009961014,0.16,0.05,0.39
"2773",-0.0725,0.287461,0.3975,-0.1725,1.0175
"2774",-0.665,-0.505039,-0.545,-0.095,-0.155
"2776",-0.02998051,-0.06001949,0.01001949,-0.1299805,0.09001949
"2780",0.24,0.189961,-0.21,-0.32,-1.08
"2781",0.1299902,0.2799512,0.06999023,0.3799902,-0.8400098
"2784",-9.765625e-06,0.3499512,0.1199902,0.4399902,-0.6400098
"2791",-0.185,-0.06503899,-0.095,0.335,0.165
"2793",-0.265,-0.005038986,-0.355,0.645,-0.145
"2794",-0.25,0.239961,-0.4,0.71,0.08
"2795",-0.33,-0.04003899,0.34,0.72,-0.02
"2802",-0.575,0.104961,-0.395,-0.435,-0.065
"2807",0.055,-0.695039,-0.405,-0.315,-0.175
"2815",-0.8499805,0.1399805,-0.4899805,0.5500195,0.2500195
"2821",0.045,-0.275039,-0.365,-0.665,0.175
"2822",-0.06,-0.230039,-0.47,-0.58,-1.06
"2828",0.28,-0.240039,-0.01,0.01,0.03
"2829",0.125,0.124961,-0.065,0.345,-0.035
"2832",0.095,0.334961,0.795,0.615,-0.075
"2833",-0.12,0.01996101,-0.62,-1.09,-0.82
"2840",0.6250098,1.174971,-0.8549902,0.5150098,1.14501
"2841",0.02,0.449961,-0.73,0.39,0.89
"2846",0.1050195,0.7449805,0.2050195,1.615019,0.8350195
"2847",0.01,0.659961,0.24,1.68,0.8
"2851",-0.125,0.194961,-0.205,0.365,0.545
"2852",0.3275,0.367461,-0.2325,-0.1125,0.3275
"2858",-0.4250098,0.8249512,0.1349902,0.7349902,1.12499
"2860",0.445,0.504961,0.355,1.185,0.145
"2861",0.71,0.299961,0.45,0.73,-0.35
"2863",-0.03,0.639961,0.67,1.28,0.17
"2868",0.6899902,0.3599512,-0.2600098,-0.01000977,0.9499902
"2870",-0.2,-0.09003899,-0.58,-0.37,0.17
"2873",-0.5175,-0.107539,-0.9175,0.3525,0.4425
"2874",-0.335,-0.575039,-0.585,0.185,0.335
"2876",0.055,-0.09503899,0.265,0.145,0.235
"2879",-1.47499,-0.8650292,-1.10499,-0.9049902,-1.12499
"2883",-0.415,0.354961,0.395,-0.215,-0.065
"2884",-0.03,1.389961,0.23,-0.28,0.23
"2894",-0.125,0.144961,-0.065,-0.435,-0.205
"2896",-1.2625,-0.682539,-0.2025,-0.8825,-0.1125
"2898",0.24,0.209961,4.336809e-18,0.76,0.23
"2900",0.7250195,-0.2950195,-0.3049805,1.535019,1.115019
"2910",0.54,0.09996101,0.29,0.62,0.5
"2911",0.23,0.009961014,-0.11,0.83,0.46
"2912",0.405,0.374961,0.335,1.005,0.775
"2915",0.035,0.314961,0.465,0.655,0.475
"2918",-0.2725,-0.08253899,0.1475,0.3175,0.4475
"2921",0.345,0.594961,-0.075,-0.175,1.035
"2927",-0.475,-0.525039,0.075,0.435,0.015
"2928",-0.1000098,-0.3100488,0.1599902,0.7199902,0.3799902
"2934",-0.155,-0.135039,0.125,-0.565,0.765
"2935",-0.5649903,0.01497074,0.3750097,-1.68499,0.4050097
"2939",0.5,0.239961,-0.3,0.04,0.42
"2943",1.94931e-05,-0.2500195,-0.009980507,-0.2199805,0.5200195
"2946",0.3050098,0.1049708,-0.07499023,-0.3149902,-0.1349902
"2950",0.24,-0.05003899,-0.16,-1.04,-0.37
"2956",-0.1024805,-0.4225195,-0.1424805,-0.7624805,-0.02248051
"2958",0.275,0.104961,0.505,-0.515,1.455
"2961",0.6150195,0.3549805,-0.2649805,0.4350195,0.1350195
"2966",0.455,1.814961,-0.815,-0.095,1.095
"2972",-0.28,0.519961,-0.21,-0.19,0.52
"2973",-0.025,0.324961,-0.405,-0.215,0.175
"2985",0.235,0.494961,0.395,0.045,0.205
"3001",0.1300195,-0.01001949,-0.3199805,0.1300195,-0.09998051
"3003",0.165,0.394961,-0.095,0.845,0.215
"3010",0.105,0.284961,-0.365,0.735,0.155
"3011",0.12,0.259961,0.27,0.1,-0.5
"3014",0.35,-0.08003899,0.15,0.46,0.16
"3016",1.387779e-17,0.09996101,0.11,0.22,-0.19
"3018",0.285,-0.695039,-0.875,0.185,0.065
"3019",-0.115,-0.185039,-0.155,-0.375,-0.865
"3020",0.1150098,1.124971,-0.004990234,0.2450098,0.6650098
"3021",0.0825,1.122461,0.1325,0.3725,0.8625
"3033",-0.1350098,-0.2450488,-0.4450098,-0.8250098,-0.4150098
"3044",-0.185,0.07496101,-0.225,-0.245,-0.495
"3047",-0.3899805,-1.94931e-05,-0.6699805,-0.8399805,0.1000195
"3049",-0.02,0.789961,-0.88,-0.62,0.75
"3052",-0.01,0.189961,-0.59,-0.55,0.43
"3053",-0.35,0.239961,-0.72,-0.35,0.73
"3059",0.075,0.514961,0.305,0.315,-0.445
"3063",0.3450097,-0.03502926,-0.7449903,-0.8149903,0.2250097
"3067",-0.7,-0.200039,-0.05,-0.99,-0.82
"3068",-0.585,-1.795039,-1.555,-1.405,-0.715
"3069",0.03,-0.750039,-0.75,-0.49,-0.58
"3072",-0.3750098,-0.7150488,-0.5450098,-0.6850098,0.01499023
"3096",0.27,0.129961,-0.08,-0.52,1.14
"3098",0.2599902,0.5799512,0.1899902,-0.4300098,-0.4900098
"3103",-0.0725,-0.06253899,-0.0325,-0.8625,-1.1225
"3104",0.1150195,0.004980507,0.09501949,0.5150195,-0.2649805
"3106",0.31,0.06996101,-0.26,-0.16,0.25
"3113",-0.15,-0.370039,-0.95,-0.01,-0.39
"3118",-0.54,-0.630039,-1.21,-0.63,-0.22
"3121",-0.2300098,-0.06004875,-9.765625e-06,-0.2300098,-0.1500098
"3123",-0.49,-0.440039,-0.61,-0.49,-0.28
